query,answer,description,sku,original_request,description,sku,items_count,mass_units,length_units,length,mass
2000x1000x6 chapa inox 304 l/C 1 ud,CHAPA INOX. 2000x1000x6 A304L LC,CHAPA INOX. 2000x1000x6 A304L LC,111420100060,2000x1000x6 chapa inox 304 l/c 1 ud,chapa inox. 2000x1000x6 a304l lc,111420100060,1,,,,
"angulo inox a304 20x20x3mm= 24 mts,",ANGULOS 20x20x3 A-304 L.C.,ANGULOS 20x20x3 A-304 L.C.,271402002003,"angulo inox a304 20x20x3mm= 24 mts,",angulos 20x20x3 a-304 l.c.,271402002003,1,,m,24.0,
"1 angulo 25x25x3 aisi 304 lc,",ANGULOS 25x25x3 A-304 L.C.,ANGULOS 25x25x3 A-304 L.C.,271402502503,"1 angulo 25x25x3 aisi 304 lc,",angulos 25x25x3 a-304 l.c.,271402502503,1,,,,
"angulo inox a304 25x25x3mm = 24 mts,",ANGULOS 25x25x3 A-304 L.C.,ANGULOS 25x25x3 A-304 L.C.,271402502503,"angulo inox a304 25x25x3mm = 24 mts,",angulos 25x25x3 a-304 l.c.,271402502503,1,,m,24.0,
ANGULO AISI304 25X25X3 MM,ANGULOS 25x25x3 A-304 L.C.,ANGULOS 25x25x3 A-304 L.C.,271402502503,angulo aisi304 25x25x3 mm,angulos 25x25x3 a-304 l.c.,271402502503,,,,,
"1 ud angulo en acero inoxidable de 316 de x 25x25x3,",ANGULOS 25x25x3 A-316 L.C.,ANGULOS 25x25x3 A-316 L.C.,275402502503,"1 ud angulo en acero inoxidable de 316 de x 25x25x3,",angulos 25x25x3 a-316 l.c.,275402502503,1,,,,
"angulo inox a304 30x30x3mm = 24 mts,",ANGULOS 30x30x3 A-304 L.C.,ANGULOS 30x30x3 A-304 L.C.,271403003003,"angulo inox a304 30x30x3mm = 24 mts,",angulos a304 30x30x3 lc pulido,271203003003,1,,m,24.0,
1 ANGULO 30X3 AISI 304,ANGULOS 30x30x3 A-304 L.C.,ANGULOS 30x30x3 A-304 L.C.,271403003003,1 angulo 30x3 aisi 304,angulos 30x30x3 a-304 l.c.,271403003003,1,,,,
"1 angulo 40x40x4 aisi 304 lc,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"1 angulo 40x40x4 aisi 304 lc,",angulos 40x40x4 a-304 l.c.,271404004004,1,,,,
"1 angulo 40x40x4 aisi 304 lc,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"1 angulo 40x40x4 aisi 304 lc,",angulos 40x40x4 a-304 l.c.,271404004004,1,,,,
"1 angulo 40x40x4 aisi 304 lc,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"1 angulo 40x40x4 aisi 304 lc,",angulos 40x40x4 a-304 l.c.,271404004004,1,,,,
"angulo inox a304 40x40x4mm = 24 mts,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"angulo inox a304 40x40x4mm = 24 mts,",angulos 40x40x4 a-304 l.c.,271404004004,1,,m,24.0,
"1 paq. angulo 40x40x4 a-304,",ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,"1 paq. angulo 40x40x4 a-304,",angulos a304 40x40x4 lc pulido,271204004004,1,,,,
PERFIL ANGULAR 40x40x4 INOX,ANGULOS 40x40x4 A-304 L.C.,ANGULOS 40x40x4 A-304 L.C.,271404004004,perfil angular 40x40x4 inox,angulos 40x40x4 a-304 l.c.,271404004004,,,,,
"5. Ã¡ngulo 50x50x5 inox304,",ANGULOS 50x50x5 A-304 L.C.,ANGULOS 50x50x5 A-304 L.C.,271405005005,"5. ã¡ngulo 50x50x5 inox304,",angulos 50x50x5 a-304 l.c.,271405005005,5,,,,
"1 paq. angulo 50x50x5 a-304,",ANGULOS 50x50x5 A-304 L.C.,ANGULOS 50x50x5 A-304 L.C.,271405005005,"1 paq. angulo 50x50x5 a-304,",angulos 50x50x5 a-304 l.c.,271405005005,1,,,,
"angulo inox a304 30x30x1mm pulido = 60 mts,",ANGULOS A304 30x30x1 PULIDOS,ANGULOS A304 30x30x1 PULIDOS,3L12303010,"angulo inox a304 30x30x1mm pulido = 60 mts,",angulos a304 30x30x1 pulidos,3l12303010,1,,m,60.0,
"angulo inox a304 40x40x1,5mm pulido = 6 mts,","ANGULOS A304 40x40x1,5 PULIDOS","ANGULOS A304 40x40x1,5 PULIDOS",3L12404015,"angulo inox a304 40x40x1,5mm pulido = 6 mts,","angulos a304 40x40x1,5 pulidos",3l12404015,1,,m,6.0,
Brida plana EN-1092-1 Type 1 PN-10 DN600 A-304,"BRIDA PLANA DIN2576 01A DN600/609,6 PN10 ISO A304","BRIDA PLANA DIN2576 01A DN600/609,6 PN10 ISO A304",40G1025766006100,brida plana en-1092-1 type 1 pn-10 dn600 a-304,brida plana en1092-1 01a dn200/204 pn10 mm a304,40g1025762002040,,,,,
Brida plana EN-1092-1 Type 1 PN-10 DN100 A-304,"BRIDA PLANA EN1092-1 01A DN100/114,3 PN10/16 ISO A304","BRIDA PLANA EN1092-1 01A DN100/114,3 PN10/16 ISO A304",40G1025761001143,brida plana en-1092-1 type 1 pn-10 dn100 a-304,brida ciega en1092-1-05a dn100 pn10/16  a304,40h102527100,,,,,
Brida plana EN-1092-1 Type 1 PN-10 DN200 A-304,"BRIDA PLANA EN1092-1 01A DN200/219,3 PN10 ISO A304","BRIDA PLANA EN1092-1 01A DN200/219,3 PN10 ISO A304",40G1025762002193,brida plana en-1092-1 type 1 pn-10 dn200 a-304,brida ciega en1092-1-05a dn200 pn10  a304,40h102527200,,,,,
Brida plana EN-1092-1 Type 1 PN-10 DN400 A-304,"BRIDA PLANA EN1092-1 01A DN400/406,4 PN10 ISO A304","BRIDA PLANA EN1092-1 01A DN400/406,4 PN10 ISO A304",40G1025764004064,brida plana en-1092-1 type 1 pn-10 dn400 a-304,brida ciega en1092-1-05a dn400 pn10  a304,40h102527400,,,,,
4 bridas Ø2”,"BRIDA PLANA EN1092-1 01A DN50/60,3 PN10/40 ISO A316","BRIDA PLANA EN1092-1 01A DN50/60,3 PN10/40 ISO A316",40G5025760500603,4 bridas de 2”,redondo inox. a-304 de 2,21100020,4,,,,
3 bridas en 3,"BRIDA PLANA EN1092-1 01A DN80/88,9 PN10/16 ISO A304","BRIDA PLANA EN1092-1 01A DN80/88,9 PN10/16 ISO A304",40G1025760800889,3 bridas en 3,redondo inox. a-303 de 3,21200030,,,,,
"304-2B 2000X1000X0,5","CHAPA INOX. 2000x1000x0,5 A304 2B","CHAPA INOX. 2000x1000x0,5 A304 2B",111120100005,"304-2b 2000x1000x0,5","chapa inox. 2000x1000x0,5 a304 2b",111120100005,1,,,,
"6 chapas satinado scoht 2000 x 1000 x 0,8 protegido 1 cara,","CHAPA INOX. 2000x1000x0,8 A304 SAT+PVC","CHAPA INOX. 2000x1000x0,8 A304 SAT+PVC",111320100008,"6 chapas satinado scoht 2000 x 1000 x 0,8 protegido 1 cara,","chapa inox. 2000x1000x0,8 a304 sat+pvc",111320100008,6,,,,
"1 caja 2*1000*0,8 SAT","CHAPA INOX. 2000x1000x0,8 A304 SAT+PVC","CHAPA INOX. 2000x1000x0,8 A304 SAT+PVC",111320100008,"1 caja 2*1000*0,8 sat","chapa inox. 2000x1000x0,8 a430 2b",119120100008,1,,,,
"15 chapas en ac inox 304 2b 2000x1000x1mm,",CHAPA INOX. 2000x1000x1 A304 2B,CHAPA INOX. 2000x1000x1 A304 2B,111120100010,"15 chapas en ac inox 304 2b 2000x1000x1mm,",chapa inox. 2000x1000x1 a304 2b,111120100010,15,,,,
"2 chapa 2000x1000x1 inox 304 2b,",CHAPA INOX. 2000x1000x1 A304 2B,CHAPA INOX. 2000x1000x1 A304 2B,111120100010,"2 chapa 2000x1000x1 inox 304 2b,",chapa inox. 2000x1000x1 a304 2b,111120100010,2,,,,
304 2B – 2000x1000x1 …………….. 25 chapas,CHAPA INOX. 2000x1000x1 A304 2B,CHAPA INOX. 2000x1000x1 A304 2B,111120100010,304 2b – 2000x1000x1 …………….. 25 chapas,chapa inox. 2000x1000x1 a304 2b,111120100010,25,,,,
2000x1000x1 chapa inxo 304 satinada + pvc 3 uds,CHAPA INOX. 2000x1000x1 A304 SAT+PVC,CHAPA INOX. 2000x1000x1 A304 SAT+PVC,111320100010,2000x1000x1 chapa inxo 304 satinada + pvc 3 uds,chapa inox. 2000x1000x1 a304 sat+pvc,111320100010,3,,,,
316 2B – 2000x1000x1 …………….. 25 chapas,CHAPA INOX. 2000x1000x1 A316L 2B,CHAPA INOX. 2000x1000x1 A316L 2B,115120100010,316 2b – 2000x1000x1 …………….. 25 chapas,chapa inox. 2000x1000x1 a316l 2b,115120100010,25,,,,
"chapa 2000x1000x1,2 1.4301 bap,","CHAPA INOX. 2000x1000x1,2 A304 BAP","CHAPA INOX. 2000x1000x1,2 A304 BAP",111220100012,"chapa 2000x1000x1,2 1.4301 bap,","chapa inox. 2000x1000x1,2 a304 bap",111220100012,,,,,
"chapa 2000*1000*1,2 1.4301 sat+pvc,","CHAPA INOX. 2000x1000x1,2 A304 SAT+PVC","CHAPA INOX. 2000x1000x1,2 A304 SAT+PVC",111320100012,"chapa 2000*1000*1,2 1.4301 sat+pvc,","chapa inox. 2000x1000x1,2 a430 sat+pvc",119320100012,,,,,
"chapa inox a304 2000x1000x1,5mm 2b = 10 unds,","CHAPA INOX. 2000x1000x1,5 A304 2B","CHAPA INOX. 2000x1000x1,5 A304 2B",111120100015,"chapa inox a304 2000x1000x1,5mm 2b = 10 unds,","chapa inox. 2000x1000x1,5 a304 2b",111120100015,10,,,,
"4 chapas en ac inox 304 2b 2000x1000x1,5mm,","CHAPA INOX. 2000x1000x1,5 A304 2B","CHAPA INOX. 2000x1000x1,5 A304 2B",111120100015,"4 chapas en ac inox 304 2b 2000x1000x1,5mm,","chapa inox. 2000x1000x1,5 a304 2b",111120100015,4,,,,
"CHAPA INOX A304 2000x1000x1,5mm 2B = 1 unds","CHAPA INOX. 2000x1000x1,5 A304 2B","CHAPA INOX. 2000x1000x1,5 A304 2B",111120100015,"chapa inox a304 2000x1000x1,5mm 2b = 1 unds","chapa inox. 2000x1000x1,5 a304 2b",111120100015,1,,,,
CHAPA AISI 304 2000X1000X1.5MM 1 UNIDAD,"CHAPA INOX. 2000x1000x1,5 A304 2B","CHAPA INOX. 2000x1000x1,5 A304 2B",111120100015,chapa aisi 304 2000x1000x1.5mm 1 unidad,"chapa inox. 2000x1000x1,5 a304 2b",111120100015,1,,,,
"1 chapa de 2000x1000x1,5 en aisi-304 2b+pvc,","CHAPA INOX. 2000x1000x1,5 A304 2B + PVC","CHAPA INOX. 2000x1000x1,5 A304 2B + PVC",111P20100015,"1 chapa de 2000x1000x1,5 en aisi-304 2b+pvc,","chapa inox. 2000x1000x1,5 a304 2b + pvc",111p20100015,1,,,,
"2 chapa 2000x1000x1.5 inox 304 satin + pvc,","CHAPA INOX. 2000x1000x1,5 A304 SAT+PVC","CHAPA INOX. 2000x1000x1,5 A304 SAT+PVC",111320100015,"2 chapa 2000x1000x1.5 inox 304 satin + pvc,","chapa inox. 2000x1000x1,5 a304 sat+pvc",111320100015,2,,,,
"chapa lc 2000x1000x10mm a304 --> 2 unidades,",CHAPA INOX. 2000x1000x10 A304L LC,CHAPA INOX. 2000x1000x10 A304L LC,111420100100,"chapa lc 2000x1000x10mm a304 --> 2 unidades,",chapa inox. 2000x1000x10 a304l lc,111420100100,2,,,,
"1 chapa AISI 310 , espesor 15mm , de 2000x1000mm",CHAPA INOX. 2000x1000x15 A310s LC - 1.4845,CHAPA INOX. 2000x1000x15 A310s LC - 1.4845,117420100150,"1 chapa aisi 310 , espesor 15mm , de 2000x1000mm",chapa inox. 2000x1000x15 a310s lc - 1.4845,117420100150,1,,,,
"chapa inox a304 2000x1000x2mm 2b = 5 unds,",CHAPA INOX. 2000x1000x2 A304 2B,CHAPA INOX. 2000x1000x2 A304 2B,111120100020,"chapa inox a304 2000x1000x2mm 2b = 5 unds,",chapa inox. 2000x1000x2 a304 2b,111120100020,5,,,,
"10 chapas 2000x1000x2 inox 304 2b,",CHAPA INOX. 2000x1000x2 A304 2B,CHAPA INOX. 2000x1000x2 A304 2B,111120100020,"10 chapas 2000x1000x2 inox 304 2b,",chapa inox. 2000x1000x2 a304 2b,111120100020,10,,,,
"4 tableros de aisi-304 2000x1000x2 2b sin proteger certificado 3.1 certificado rohs y reach,",CHAPA INOX. 2000x1000x2 A304 2B,CHAPA INOX. 2000x1000x2 A304 2B,111120100020,"4 tableros de aisi-304 2000x1000x2 2b sin proteger certificado 3.1 certificado rohs y reach,",chapa inox. 2000x1000x2 a304 2b,111120100020,1,,,,
"5 chapa 2000x1000x2 inox 304 2b,",CHAPA INOX. 2000x1000x2 A304 2B,CHAPA INOX. 2000x1000x2 A304 2B,111120100020,"5 chapa 2000x1000x2 inox 304 2b,",chapa inox. 2000x1000x2 a304 2b,111120100020,5,,,,
304 SAT 2000X1000X2,CHAPA INOX. 2000x1000x2 A304 SAT+PVC,CHAPA INOX. 2000x1000x2 A304 SAT+PVC,111320100020,304 sat 2000x1000x2,chapa inox. 2000x1000x2 a304 sat+pvc,111320100020,1,,,,
CHAPA AISI 316 2000X1000X2MM 2 UNIDADES,CHAPA INOX. 2000x1000x2 A316L 2B,CHAPA INOX. 2000x1000x2 A316L 2B,115120100020,chapa aisi 316 2000x1000x2mm 2 unidades,chapa inox. 2000x1000x2 a316l 2b,115120100020,2,,,,
1 chapa AISI 430 2000x1000x2,CHAPA INOX. 2000x1000x2 A430 BAP,CHAPA INOX. 2000x1000x2 A430 BAP,119220100020,1 chapa aisi 430 2000x1000x2,chapa inox. 2000x1000x2 a430 2b,119120100020,1,,,,
"304-2B 2000X1000X2,5","CHAPA INOX. 2000x1000x2,5 A304 2B","CHAPA INOX. 2000x1000x2,5 A304 2B",111120100025,"304-2b 2000x1000x2,5","chapa inox. 2000x1000x2,5 a304 2b",111120100025,1,,,,
1 Chapa 2000x1000x20,CHAPA INOX. 2000x1000x20 A304L LC,CHAPA INOX. 2000x1000x20 A304L LC,111420100200,1 chapa 2000x1000x20,chapa inox. 2000x1000x20 a304l lc,111420100200,1,,,,
"4 chapa 2000x1000x3 inox 304 2b,",CHAPA INOX. 2000x1000x3 A304 2B,CHAPA INOX. 2000x1000x3 A304 2B,111120100030,"4 chapa 2000x1000x3 inox 304 2b,",chapa inox. 2000x1000x3 a304 2b,111120100030,4,,,,
CHAPA AISI 304 2000X1000X3MM 1 UNIDAD,CHAPA INOX. 2000x1000x3 A304 2B,CHAPA INOX. 2000x1000x3 A304 2B,111120100030,chapa aisi 304 2000x1000x3mm 1 unidad,chapa inox. 2000x1000x3 a304 2b,111120100030,1,,,,
CHAPA ACERO INOX 3X1000X2000 AISI-304 MATE 48,CHAPA INOX. 2000x1000x3 A304 2B,CHAPA INOX. 2000x1000x3 A304 2B,111120100030,chapa acero inox 3x1000x2000 aisi-304 mate 48,chapa inox. 2000x1000x3 a304l lc,111420100030,48,,,,
chapa de 2000 x 1000 x 3 en brillo espejo.,CHAPA INOX. 2000x1000x3 A304 PULIDO M+PVC,CHAPA INOX. 2000x1000x3 A304 PULIDO M+PVC,111520100030,chapa de 2000 x 1000 x 3 en brillo espejo.,chapa inox. 2000x1000x3 a304 pulido m+pvc,111520100030,,,,,
"chapa 2000*1000*3 1.4301 sat+pvc (el recubrimiento de pvc debe ser especial para corte laser),",CHAPA INOX. 2000x1000x3 A304 SATIN+PVC,CHAPA INOX. 2000x1000x3 A304 SATIN+PVC,111320100030,"chapa 2000*1000*3 1.4301 sat+pvc (el recubrimiento de pvc debe ser especial para corte laser),",chapa inox. 2000x1000x3 a304 satin 2 caras + pvc,111s20100030,,,,,
"1 tablero de 2000x1000x3 de aisi 316 2b sin prt,",CHAPA INOX. 2000x1000x3 A316L 2B,CHAPA INOX. 2000x1000x3 A316L 2B,115120100030,"1 tablero de 2000x1000x3 de aisi 316 2b sin prt,",chapa inox. 2000x1000x3 a316l 2b,115120100030,1,,,,
"chapa 2b 2000x1000x4 a304,",CHAPA INOX. 2000x1000x4 A304L 2B,CHAPA INOX. 2000x1000x4 A304L 2B,111120100040,"chapa 2b 2000x1000x4 a304,",chapa inox. 2000x1000x4 a304l 2b,111120100040,1,,,,
"1 chapa 2000x1000x4mm pulido 1 cara a316,",CHAPA INOX. 2000x1000x4 A316 PULIDA M+PVC,CHAPA INOX. 2000x1000x4 A316 PULIDA M+PVC,115520100040,"1 chapa 2000x1000x4mm pulido 1 cara a316,",chapa inox. 2000x1000x4 a316 pulida m+pvc,115520100040,1,,,,
"1 tablero de 2000x1000x4 de aisi 316 2b sin prt,",CHAPA INOX. 2000x1000x4 A316L 2B,CHAPA INOX. 2000x1000x4 A316L 2B,115120100040,"1 tablero de 2000x1000x4 de aisi 316 2b sin prt,",chapa inox. 2000x1000x4 a316l 2b,115120100040,1,,,,
24 chapas 316 2000x1000x4 LC,CHAPA INOX. 2000x1000x4 A316L LC,CHAPA INOX. 2000x1000x4 A316L LC,115420100040,24 chapas 316 2000x1000x4 lc,chapa inox. 2000x1000x4 a316l lc,115420100040,24,,,,
1 304L 2000X1000X5,CHAPA INOX. 2000x1000x5 A304L LC,CHAPA INOX. 2000x1000x5 A304L LC,111420100050,1 304l 2000x1000x5,chapa inox. 2000x1000x5 a304l lc,111420100050,1,,,,
CHAPA AISI 316 2000X1000X5MM 1 UNIDAD,CHAPA INOX. 2000x1000x5 A316L 2B,CHAPA INOX. 2000x1000x5 A316L 2B,115120100050,chapa aisi 316 2000x1000x5mm 1 unidad,chapa inox. 2000x1000x5 a316l lc,115420100050,1,,,,
1 chapa 316 2000x1000x5 LC,CHAPA INOX. 2000x1000x5 A316L LC,CHAPA INOX. 2000x1000x5 A316L LC,115420100050,1 chapa 316 2000x1000x5 lc,chapa inox. 2000x1000x5 a316l lc,115420100050,1,,,,
2 Uds. CHAPA AISI 316L 2000x1000x5,CHAPA INOX. 2000x1000x5 A316L LC,CHAPA INOX. 2000x1000x5 A316L LC,115420100050,2 uds. chapa aisi 316l 2000x1000x5,chapa inox. 2000x1000x5 a316l lc,115420100050,2,,,,
"aisi 304 pulido 2000x1000x6 1 chapa,",CHAPA INOX. 2000x1000x6 A304 PULIDO M+PVC,CHAPA INOX. 2000x1000x6 A304 PULIDO M+PVC,111520100060,"aisi 304 pulido 2000x1000x6 1 chapa,",chapa inox. 2000x1000x6 a304 pulido m+pvc,111520100060,1,,,,
2 uds chapa 1000x2000x6 a-304 (igual que antes),CHAPA INOX. 2000x1000x6 A304L LC,CHAPA INOX. 2000x1000x6 A304L LC,111420100060,2 uds chapa 1000x2000x6 a-304 (igual que antes),chapa inox. 2000x1000x6 a304l lc,111420100060,2,,,,
"chapa 2000x1000x8 a310 --> 3 ud,",CHAPA INOX. 2000x1000x8 A310s LC - 1.4845,CHAPA INOX. 2000x1000x8 A310s LC - 1.4845,117420100080,"chapa 2000x1000x8 a310 --> 3 ud,",chapa inox. 2000x1000x8 a310s lc - 1.4845,117420100080,3,,,,
"1 chapa en ac inox 304 2b 2500x1250x1,5mm,","CHAPA INOX. 2500x1250x1,5 A304 2B","CHAPA INOX. 2500x1250x1,5 A304 2B",111125125015,"1 chapa en ac inox 304 2b 2500x1250x1,5mm,","chapa inox. 2500x1250x1,5 a304 2b",111125125015,1,,,,
"1 chapa de 3000x1000x1,5 en aisi-304 2b+pvc,","CHAPA INOX. 3000x1000x1,5 A304 2B + PVC","CHAPA INOX. 3000x1000x1,5 A304 2B + PVC",111P30100015,"1 chapa de 3000x1000x1,5 en aisi-304 2b+pvc,","chapa inox. 3000x1000x1,5 a304 2b + pvc",111p30100015,1,,,,
30 CHAPAS A-430 3000X1250X1 BRILLO/PVC,CHAPA INOX. 3000x1250x1 A430 BAP,CHAPA INOX. 3000x1250x1 A430 BAP,119230125010,30 chapas a-430 3000x1250x1 brillo/pvc,chapa inox. 3000x1250x1 a430 bap,119230125010,30,,,,
"chapa 3000x1250x1, 2 1.4301 bap,","CHAPA INOX. 3000x1250x1,2 A304 BAP","CHAPA INOX. 3000x1250x1,2 A304 BAP",111230125012,"chapa 3000x1250x1, 2 1.4301 bap,",chapa inox. 3000x1250x1 a304 bap,111230125010,,,,,
"chapa inox a304 3000x1250x1,5mm 2b = 12 unds,","CHAPA INOX. 3000x1250x1,5 A304 2B","CHAPA INOX. 3000x1250x1,5 A304 2B",111130125015,"chapa inox a304 3000x1250x1,5mm 2b = 12 unds,","chapa inox. 3000x1250x1,5 a304 2b",111130125015,12,,,,
"chapa inox a304 3000x1250x1,5mm 2b = 3 unds,","CHAPA INOX. 3000x1250x1,5 A304 2B","CHAPA INOX. 3000x1250x1,5 A304 2B",111130125015,"chapa inox a304 3000x1250x1,5mm 2b = 3 unds,","chapa inox. 3000x1250x1,5 a304 2b",111130125015,3,,,,
"3000x1250x1,5 chapa inox 304 pulido + pvc 2 uds,","CHAPA INOX. 3000x1250x1,5 A304 BAP","CHAPA INOX. 3000x1250x1,5 A304 BAP",111230125015,"3000x1250x1,5 chapa inox 304 pulido + pvc 2 uds,","chapa inox. 3000x1250x1,5 a304 bap",111230125015,2,,,,
"8 chapas de 3000*1250*1.5 satinadas.,","CHAPA INOX. 3000x1250x1,5 A304 SATIN+PVC","CHAPA INOX. 3000x1250x1,5 A304 SATIN+PVC",111330125015,"8 chapas de 3000*1250*1.5 satinadas.,","chapa inox. 3000x1250x1,5 a430 sat+pvc",119330125015,8,,,,
CHAPA ACERO INOX 2X1250X3000 AISI-304 ESMERILADO FINO (60) PLASTIFICADO 100MICRAS LASER FIBRA 1 CARA,CHAPA INOX. 3000x1250x2 A304 SATIN+PVC,CHAPA INOX. 3000x1250x2 A304 SATIN+PVC,111330125020,chapa acero inox 2x1250x3000 aisi-304 esmerilado fino (60) plastificado 100micras laser fibra 1 cara,"chapa inox. 3000x1250x1,2 a304 esm.gr-220+pvc",111830125012,,,,,
"4 chapas 3000x1250x3 mm en 304 2b,",CHAPA INOX. 3000x1250x3 A304 2B,CHAPA INOX. 3000x1250x3 A304 2B,111130125030,"4 chapas 3000x1250x3 mm en 304 2b,",chapa inox. 3000x1250x3 a304 2b,111130125030,4,,,,
"chapa inox a304 3000x1500x0,8mm satinada = 20 unds,","CHAPA INOX. 3000x1500x0,8 A304 SATIN+PVC","CHAPA INOX. 3000x1500x0,8 A304 SATIN+PVC",111330150008,"chapa inox a304 3000x1500x0,8mm satinada = 20 unds,","chapa inox. 3000x1500x0,8 a304 satin+pvc",111330150008,20,,,,
304SAT 3000X1500X1,CHAPA INOX. 3000x1500x1 A304 SATIN+PVC,CHAPA INOX. 3000x1500x1 A304 SATIN+PVC,111330150010,304sat 3000x1500x1,chapa inox. 3000x1500x1 a304 satin 2 caras + pvc,111s30150010,1,,,,
"10 chapas 3000x1500x1mm 2b 316,",CHAPA INOX. 3000x1500x1 A316L 2B,CHAPA INOX. 3000x1500x1 A316L 2B,115130150010,"10 chapas 3000x1500x1mm 2b 316,",chapa inox. 3000x1500x1 a316l 2b,115130150010,10,,,,
"chapa 2b 3000x1500x1 a316 --> 3 ud,",CHAPA INOX. 3000x1500x1 A316L 2B,CHAPA INOX. 3000x1500x1 A316L 2B,115130150010,"chapa 2b 3000x1500x1 a316 --> 3 ud,",chapa inox. 3000x1500x1 a316l 2b,115130150010,3,,,,
"CHAPA INOX A304 3000x1500x1,2mm 2B = 1 und","CHAPA INOX. 3000x1500x1,2 A304 2B","CHAPA INOX. 3000x1500x1,2 A304 2B",111130150012,"chapa inox a304 3000x1500x1,2mm 2b = 1 und","chapa inox. 3000x1500x1,2 a304 2b",111130150012,1,,,,
"chapa inox a304 3000x1500x1,5mm 2b = 10 unds,","CHAPA INOX. 3000x1500x1,5 A304 2B","CHAPA INOX. 3000x1500x1,5 A304 2B",111130150015,"chapa inox a304 3000x1500x1,5mm 2b = 10 unds,","chapa inox. 3000x1500x1,5 a304 2b",111130150015,10,,,,
"1 paquete de chapas aisi304 2b de 3000 x 1500 x 1.5 mm,","CHAPA INOX. 3000x1500x1,5 A304 2B","CHAPA INOX. 3000x1500x1,5 A304 2B",111130150015,"1 paquete de chapas aisi304 2b de 3000 x 1500 x 1.5 mm,","chapa inox. 3000x1500x1,5 a304 2b",111130150015,1,,,,
"chapa acero inox AISI 304 2B, formato 3000x1500x1.5 mm","CHAPA INOX. 3000x1500x1,5 A304 2B","CHAPA INOX. 3000x1500x1,5 A304 2B",111130150015,"chapa acero inox aisi 304 2b, formato 3000x1500x1.5 mm","chapa inox. 3000x1500x1,5 a304 2b",111130150015,1,,,,
"15 chapas aisi 304 2b + pvc de 3000x1500x1,5,","CHAPA INOX. 3000x1500x1,5 A304 2B + PVC","CHAPA INOX. 3000x1500x1,5 A304 2B + PVC",111P30150015,"15 chapas aisi 304 2b + pvc de 3000x1500x1,5,","chapa inox. 3000x1500x1,5 a304 2b + pvc",111p30150015,15,,,,
"5 chapas de 3000x1500x1,5 en aisi-304 2b+pvc,","CHAPA INOX. 3000x1500x1,5 A304 2B + PVC","CHAPA INOX. 3000x1500x1,5 A304 2B + PVC",111P30150015,"5 chapas de 3000x1500x1,5 en aisi-304 2b+pvc,","chapa inox. 3000x1500x1,5 a304 2b + pvc",111p30150015,5,,,,
"3000x1500x1.5 chapa inox 304 pulido `+ pvc ---2,","CHAPA INOX. 3000x1500x1,5 A304 BAP","CHAPA INOX. 3000x1500x1,5 A304 BAP",111230150015,"3000x1500x1.5 chapa inox 304 pulido `+ pvc ---2,","chapa inox. 3000x1500x1,5 a304 bap",111230150015,2,,,,
"1 chapa aisi304 pulida de 3000 x 1500 x 1.5 mm,","CHAPA INOX. 3000x1500x1,5 A304 BAP","CHAPA INOX. 3000x1500x1,5 A304 BAP",111230150015,"1 chapa aisi304 pulida de 3000 x 1500 x 1.5 mm,","chapa inox. 3000x1500x1,5 a304 bap",111230150015,1,,,,
