query,answer,description,sku,original_request,description,sku,items_count,mass_units,length_units,length,mass
"5 chapas 3000x1500x1.5 a304 pulida,","CHAPA INOX. 3000x1500x1,5 A304 BAP","CHAPA INOX. 3000x1500x1,5 A304 BAP",111230150015,"5 chapas 3000x1500x1.5 a304 pulida,","chapa inox. 3000x1500x1,5 a304 bap",111230150015,5,,,,
"1 chapa 3000x1500x1,5 inox 316 satinado 1 cara,","CHAPA INOX. 3000x1500x1,5 A316L SAT+PVC","CHAPA INOX. 3000x1500x1,5 A316L SAT+PVC",115330150015,"1 chapa 3000x1500x1,5 inox 316 satinado 1 cara,","chapa inox. 3000x1500x1,5 a316l sat+pvc",115330150015,1,,,,
"ch aisi 316ti 2b 1.5x3000x1500 titanio,","CHAPA INOX. 3000x1500x1,5 A316TI 2B","CHAPA INOX. 3000x1500x1,5 A316TI 2B",11T130150015,"ch aisi 316ti 2b 1.5x3000x1500 titanio,","chapa inox. 3000x1500x1,5 a316ti 2b",11t130150015,,,,,
2 CHAPAS 3000x1500x10mm INOX 304 LC,CHAPA INOX. 3000x1500x10 A304L LC,CHAPA INOX. 3000x1500x10 A304L LC,111430150100,2 chapas 3000x1500x10mm inox 304 lc,chapa inox. 3000x1500x10 a304l lc,111430150100,2,,,,
"2 uds. chapa acero inoxidable aisi 310 formato 3.000*1.500*10 mm,",CHAPA INOX. 3000x1500x10 A310s LC - 1.4845,CHAPA INOX. 3000x1500x10 A310s LC - 1.4845,117430150100,"2 uds. chapa acero inoxidable aisi 310 formato 3.000*1.500*10 mm,",chapa inox. 3000x1500x10 a310s lc - 1.4845,117430150100,2,,,,
CHAPA AISI 316 3000X1500X10MM 1 UNIDAD,CHAPA INOX. 3000x1500x10 A316L LC,CHAPA INOX. 3000x1500x10 A316L LC,115430150100,chapa aisi 316 3000x1500x10mm 1 unidad,chapa inox. 3000x1500x10 a316l lc,115430150100,1,,,,
"aisi 316 3000x1500x15 2 chapas,",CHAPA INOX. 3000x1500x15 A316L LC,CHAPA INOX. 3000x1500x15 A316L LC,115430150150,"aisi 316 3000x1500x15 2 chapas,",chapa inox. 3000x1500x15 a316l lc,115430150150,2,,,,
"chapa 2b 3000x1500x2mm a304 --> 20 chapas,",CHAPA INOX. 3000x1500x2 A304 2B,CHAPA INOX. 3000x1500x2 A304 2B,111130150020,"chapa 2b 3000x1500x2mm a304 --> 20 chapas,",chapa inox. 3000x1500x2 a304 2b,111130150020,20,,,,
"10 chapas 3000x1500x2 inox 304 2b,",CHAPA INOX. 3000x1500x2 A304 2B,CHAPA INOX. 3000x1500x2 A304 2B,111130150020,"10 chapas 3000x1500x2 inox 304 2b,",chapa inox. 3000x1500x2 a304 2b,111130150020,10,,,,
"2 chapa 3000x1500x2 inox 304 2b,",CHAPA INOX. 3000x1500x2 A304 2B,CHAPA INOX. 3000x1500x2 A304 2B,111130150020,"2 chapa 3000x1500x2 inox 304 2b,",chapa inox. 3000x1500x2 a304 2b,111130150020,2,,,,
304 2B 3000X1500X2,CHAPA INOX. 3000x1500x2 A304 2B,CHAPA INOX. 3000x1500x2 A304 2B,111130150020,304 2b 3000x1500x2,chapa inox. 3000x1500x2 a304 2b,111130150020,1,,,,
304 L – 3000x1500x2 ………….. 34 chapas.,CHAPA INOX. 3000x1500x2 A304 2B,CHAPA INOX. 3000x1500x2 A304 2B,111130150020,304 l – 3000x1500x2 ………….. 34 chapas.,chapa inox. 3000x1500x2 a304 2b,111130150020,34,,,,
"15 chapas aisi 304 2b + pvc de 3000x1500x2,",CHAPA INOX. 3000x1500x2 A304 2B + PVC,CHAPA INOX. 3000x1500x2 A304 2B + PVC,111P30150020,"15 chapas aisi 304 2b + pvc de 3000x1500x2,",chapa inox. 3000x1500x2 a304 2b + pvc,111p30150020,15,,,,
"1 chapa aisi304 pulida de 3000 x 1500 x 2 mm,",CHAPA INOX. 3000x1500x2 A304 BAP,CHAPA INOX. 3000x1500x2 A304 BAP,111230150020,"1 chapa aisi304 pulida de 3000 x 1500 x 2 mm,",chapa inox. 3000x1500x2 a304 bap,111230150020,1,,,,
"5 chapa 3000x1500x2mm pulido a304,",CHAPA INOX. 3000x1500x2 A304 BAP,CHAPA INOX. 3000x1500x2 A304 BAP,111230150020,"5 chapa 3000x1500x2mm pulido a304,",chapa inox. 3000x1500x2 a304 bap,111230150020,5,,,,
"2 chapas 3000x1500x2 inox 316 satinado 1 cara,",CHAPA INOX. 3000x1500x2 A316 SAT+PVC,CHAPA INOX. 3000x1500x2 A316 SAT+PVC,115330150020,"2 chapas 3000x1500x2 inox 316 satinado 1 cara,",chapa inox. 3000x1500x2 a316 sat+pvc,115330150020,2,,,,
"1 chapa 3000x1500x2.5 inox 304 2b,","CHAPA INOX. 3000x1500x2,5 A304 2B","CHAPA INOX. 3000x1500x2,5 A304 2B",111130150025,"1 chapa 3000x1500x2.5 inox 304 2b,","chapa inox. 3000x1500x2,5 a304 2b",111130150025,1,,,,
"7 chapas aisi316 pulido con formato 3000x1500x2,5 mm,","CHAPA INOX. 3000x1500x2,5 A316 PULIDA M+PVC","CHAPA INOX. 3000x1500x2,5 A316 PULIDA M+PVC",115530150025,"7 chapas aisi316 pulido con formato 3000x1500x2,5 mm,","chapa inox. 3000x1500x2,5 a316 pulida m+pvc",115530150025,7,,,,
"5 chapas aisi 304 2b de 3000x1500x3,",CHAPA INOX. 3000x1500x3 A304L 2B,CHAPA INOX. 3000x1500x3 A304L 2B,111130150030,"5 chapas aisi 304 2b de 3000x1500x3,",chapa inox. 3000x1500x3 a304l 2b,111130150030,5,,,,
"2 chapa 3000x1500x3 inox 304 2b,",CHAPA INOX. 3000x1500x3 A304L 2B,CHAPA INOX. 3000x1500x3 A304L 2B,111130150030,"2 chapa 3000x1500x3 inox 304 2b,",chapa inox. 3000x1500x3 a304l 2b,111130150030,2,,,,
"2 chapa 3000x1500x3 inox 304 2b,",CHAPA INOX. 3000x1500x3 A304L 2B,CHAPA INOX. 3000x1500x3 A304L 2B,111130150030,"2 chapa 3000x1500x3 inox 304 2b,",chapa inox. 3000x1500x3 a304l 2b,111130150030,2,,,,
"chapa acero inox AISI 304 2B, formato 3000x1500x3 mm",CHAPA INOX. 3000x1500x3 A304L 2B,CHAPA INOX. 3000x1500x3 A304L 2B,111130150030,"chapa acero inox aisi 304 2b, formato 3000x1500x3 mm",chapa inox. 3000x1500x3 a304l 2b,111130150030,,,,,
1. 3000 X 1500 X 3 MM CHAPA 2B A-304 : 20 UNIDADES.,CHAPA INOX. 3000x1500x3 A304L 2B,CHAPA INOX. 3000x1500x3 A304L 2B,111130150030,1. 3000 x 1500 x 3 mm chapa 2b a-304 : 20 unidades.,chapa inox. 3000x1500x3 a304l 2b,111130150030,20,,,,
"chapa lc 3000x1500x3mm a304 --> 25 unidades,",CHAPA INOX. 3000x1500x3 A304L LC,CHAPA INOX. 3000x1500x3 A304L LC,111430150030,"chapa lc 3000x1500x3mm a304 --> 25 unidades,",chapa inox. 3000x1500x3 a304l lc,111430150030,25,,,,
"4 chapas 3000x1500x3 inox 316 satinado 1 cara,",CHAPA INOX. 3000x1500x3 A316 SAT+PVC,CHAPA INOX. 3000x1500x3 A316 SAT+PVC,115330150030,"4 chapas 3000x1500x3 inox 316 satinado 1 cara,",chapa inox. 3000x1500x3 a316 sat+pvc,115330150030,4,,,,
12 chapas de 3000x1500x3 2b aisi-316,CHAPA INOX. 3000x1500x3 A316L 2B,CHAPA INOX. 3000x1500x3 A316L 2B,115130150030,12 chapas de 3000x1500x3 2b aisi-316,chapa inox. 3000x1500x3 a316l 2b,115130150030,12,,,,
AISI304-2B 3000x1500x4mm. 3 chapas,CHAPA INOX. 3000x1500x4 A304L 2B,CHAPA INOX. 3000x1500x4 A304L 2B,111130150040,aisi304-2b 3000x1500x4mm. 3 chapas,chapa inox. 3000x1500x4 a304l 2b,111130150040,3,,,,
"10 chapas aisi304 lc de 3000 x 1500 x 4 mm,",CHAPA INOX. 3000x1500x4 A304L LC,CHAPA INOX. 3000x1500x4 A304L LC,111430150040,"10 chapas aisi304 lc de 3000 x 1500 x 4 mm,",chapa inox. 3000x1500x4 a304l lc,111430150040,10,,,,
"chapas 3000x1500x4 a304 l/c,",CHAPA INOX. 3000x1500x4 A304L LC,CHAPA INOX. 3000x1500x4 A304L LC,111430150040,"chapas 3000x1500x4 a304 l/c,",chapa inox. 3000x1500x4 a304l lc,111430150040,,,,,
"1) 3000 x 1500 x 4 mm chapa l. caliente a-304 : 30 unidades,",CHAPA INOX. 3000x1500x4 A304L LC,CHAPA INOX. 3000x1500x4 A304L LC,111430150040,"1) 3000 x 1500 x 4 mm chapa l. caliente a-304 : 30 unidades,",chapa inox. 3000x1500x4 a304l lc,111430150040,30,,,,
1 Chapa 3000x1250x4,CHAPA INOX. 3000x1500x4 A304L LC,CHAPA INOX. 3000x1500x4 A304L LC,111430150040,1 chapa 3000x1250x4,chapa inox. 3000x1250x4 a304 lc,111430125040,1,,,,
AISI-304 LC 3000x1500x4__ 1 und,CHAPA INOX. 3000x1500x4 A304L LC,CHAPA INOX. 3000x1500x4 A304L LC,111430150040,aisi-304 lc 3000x1500x4__ 1 und,chapa inox. 3000x1500x4 a304l lc,111430150040,1,,,,
"1 chapa 3000x1500x4mm pulido 1 cara a316,",CHAPA INOX. 3000x1500x4 A316 PULIDA M+PVC,CHAPA INOX. 3000x1500x4 A316 PULIDA M+PVC,115530150040,"1 chapa 3000x1500x4mm pulido 1 cara a316,",chapa inox. 3000x1500x4 a316 pulida m+pvc,115530150040,1,,,,
solicitamos precio de una chapa de 3000 x 1500 x 4 en inox 316,CHAPA INOX. 3000x1500x4 A316L LC,CHAPA INOX. 3000x1500x4 A316L LC,115430150040,solicitamos precio de una chapa de 3000 x 1500 x 4 en inox 316,chapa inox. 3000x1500x4 a316l lc,115430150040,,,,,
"chapa lc 3000x1500x5mm a304 --> 4 unidades,",CHAPA INOX. 3000x1500x5 A304L LC,CHAPA INOX. 3000x1500x5 A304L LC,111430150050,"chapa lc 3000x1500x5mm a304 --> 4 unidades,",chapa inox. 3000x1500x5 a304l lc,111430150050,4,,,,
"chapas 3000x1500x5 a304 l/c,",CHAPA INOX. 3000x1500x5 A304L LC,CHAPA INOX. 3000x1500x5 A304L LC,111430150050,"chapas 3000x1500x5 a304 l/c,",chapa inox. 3000x1500x5 a304l lc,111430150050,,,,,
"8 chapas aisi304 lc 3000 x 1500 x 5 mm,",CHAPA INOX. 3000x1500x5 A304L LC,CHAPA INOX. 3000x1500x5 A304L LC,111430150050,"8 chapas aisi304 lc 3000 x 1500 x 5 mm,",chapa inox. 3000x1500x5 a304l lc,111430150050,8,,,,
1 304L 3000X1500X5,CHAPA INOX. 3000x1500x5 A304L LC,CHAPA INOX. 3000x1500x5 A304L LC,111430150050,1 304l 3000x1500x5,chapa inox. 3000x1500x5 a304l lc,111430150050,1,,,,
1500kgs 3000x1500x5 Aisi304 LC,CHAPA INOX. 3000x1500x5 A304L LC,CHAPA INOX. 3000x1500x5 A304L LC,111430150050,1500kgs 3000x1500x5 aisi304 lc,chapa inox. 3000x1500x5 a304l lc,111430150050,1,kg,,,1500.0
1 chapa 3000x1500x5 inox 316 lc,CHAPA INOX. 3000x1500x5 A316L LC,CHAPA INOX. 3000x1500x5 A316L LC,115430150050,1 chapa 3000x1500x5 inox 316 lc,chapa inox. 3000x1500x5 a316l lc,115430150050,1,,,,
1 chapa 3000x1500x5 inox 316 lc,CHAPA INOX. 3000x1500x5 A316L LC,CHAPA INOX. 3000x1500x5 A316L LC,115430150050,1 chapa 3000x1500x5 inox 316 lc,chapa inox. 3000x1500x5 a316l lc,115430150050,1,,,,
1011401068 CHAPA 316L 1 5.0X1500X3000 - 2 CH.,CHAPA INOX. 3000x1500x5 A316L LC,CHAPA INOX. 3000x1500x5 A316L LC,115430150050,1011401068 chapa 316l 1 5.0x1500x3000 - 2 ch.,chapa inox. 3000x1500x3 a316l lc,115430150030,1,,,,
3 chapas de 3000*1500 espesor 6 i-304 l,CHAPA INOX. 3000x1500x6 A304L LC,CHAPA INOX. 3000x1500x6 A304L LC,111430150060,3 chapas de 3000*1500 espesor 6 i-304 l,chapa inox. 3000x1500x6 a304l lc,111430150060,3,,,,
"6 chapas aisi304 lc 3000 x 1500 x 8 mm,",CHAPA INOX. 3000x1500x8 A304L LC,CHAPA INOX. 3000x1500x8 A304L LC,111430150080,"6 chapas aisi304 lc 3000 x 1500 x 8 mm,",chapa inox. 3000x1500x8 a304l lc,111430150080,6,,,,
1 Chapa 3000x1500x8,CHAPA INOX. 3000x1500x8 A304L LC,CHAPA INOX. 3000x1500x8 A304L LC,111430150080,1 chapa 3000x1500x8,chapa inox. 3000x1500x8 a304l lc,111430150080,1,,,,
1. 144 chapas de 3000x1500x8mm en L/C.,CHAPA INOX. 3000x1500x8 A304L LC,CHAPA INOX. 3000x1500x8 A304L LC,111430150080,1. 144 chapas de 3000x1500x8mm en l/c.,chapa inox. 3000x1500x8 a304l lc,111430150080,144,,,,
"1 chapa de 4000 x 1250 o 1500 x 1.5 aisi 304 bap,","CHAPA INOX. 4000x1250x1,5 A304 BAP","CHAPA INOX. 4000x1250x1,5 A304 BAP",111240125015,"1 chapa de 4000 x 1250 o 1500 x 1.5 aisi 304 bap,","chapa inox. 4000x1250x1,5 a304 bap",111240125015,1,,,,
"aisi 304 4000x1500x2 10 chapas,",CHAPA INOX. 4000x1500x2 A304 2B,CHAPA INOX. 4000x1500x2 A304 2B,111140150020,"aisi 304 4000x1500x2 10 chapas,",chapa inox. 4000x1500x2 a304 2b,111140150020,1,,,,
"3 chapas 4000x1500x3mm i-lc-304,",CHAPA INOX. 4000x1500x3 A304L LC,CHAPA INOX. 4000x1500x3 A304L LC,111440150030,"3 chapas 4000x1500x3mm i-lc-304,",chapa inox. 4000x1500x3 a304l lc,111440150030,3,,,,
"3 chapas 4000x2000x2mm 2b 304,",CHAPA INOX. 4000x2000x2 A304 2B,CHAPA INOX. 4000x2000x2 A304 2B,111140200020,"3 chapas 4000x2000x2mm 2b 304,",chapa inox. 4000x2000x2 a304 2b,111140200020,3,,,,
"3 chapas aisi304 2b de 4000 x 2000 x 2 mm,",CHAPA INOX. 4000x2000x2 A304 2B,CHAPA INOX. 4000x2000x2 A304 2B,111140200020,"3 chapas aisi304 2b de 4000 x 2000 x 2 mm,",chapa inox. 4000x2000x2 a304 2b,111140200020,3,,,,
"1 chapa aisi316 2b de 4000 x 2000 x 2 mm,",CHAPA INOX. 4000x2000x2 A316L 2B,CHAPA INOX. 4000x2000x2 A316L 2B,115140200020,"1 chapa aisi316 2b de 4000 x 2000 x 2 mm,",chapa inox. 4000x2000x2 a316l 2b,115140200020,1,,,,
"1 chapa aisi304 2b de 4000 x 2000 x 3 mm,",CHAPA INOX. 4000x2000x3 A304 2B,CHAPA INOX. 4000x2000x3 A304 2B,111140200030,"1 chapa aisi304 2b de 4000 x 2000 x 3 mm,",chapa inox. 4000x2000x3 a304 2b,111140200030,1,,,,
"2 chapas 4000x2000x3mm i-lc-304,",CHAPA INOX. 4000x2000x3 A304L LC,CHAPA INOX. 4000x2000x3 A304L LC,111440200030,"2 chapas 4000x2000x3mm i-lc-304,",chapa inox. 4000x2000x3 a304 2b,111140200030,2,,,,
4000x2000x4mm INOX 304 LC (1 ud),CHAPA INOX. 4000x2000x4 A304L LC,CHAPA INOX. 4000x2000x4 A304L LC,111440200040,4000x2000x4mm inox 304 lc (1 ud),chapa inox. 4000x2000x4 a304l lc,111440200040,1,,,,
"14 chapas 4000x2000x5mm lc a316,",CHAPA INOX. 4000x2000x5 A316L LC,CHAPA INOX. 4000x2000x5 A316L LC,115440200050,"14 chapas 4000x2000x5mm lc a316,",chapa inox. 4000x2000x5 a316l lc,115440200050,14,,,,
"1 chapa aisi316 lc de 4000 x 2000 x 6 mm,",CHAPA INOX. 4000x2000x6 A316L LC,CHAPA INOX. 4000x2000x6 A316L LC,115440200060,"1 chapa aisi316 lc de 4000 x 2000 x 6 mm,",chapa inox. 4000x2000x6 a316l lc,115440200060,1,,,,
"1 chapa de 6000x1250x3 a304l2b,",CHAPA INOX. 6000x1250x3 A304 2B,CHAPA INOX. 6000x1250x3 A304 2B,111160125030,"1 chapa de 6000x1250x3 a304l2b,",chapa inox. 6000x1250x3 a304 2b,111160125030,1,,,,
"1 chapa 6000x1500x4 mm inox 304 lc,",CHAPA INOX. 6000x1500x4 A304L LC,CHAPA INOX. 6000x1500x4 A304L LC,111460150040,"1 chapa 6000x1500x4 mm inox 304 lc,",chapa inox. 6000x1500x4 a304l lc,111460150040,1,,,,
1 Chapa 5000x1500x6,CHAPA INOX. 6000x1500x6 A304L LC,CHAPA INOX. 6000x1500x6 A304L LC,111460150060,1 chapa 5000x1500x6,chapa inox. 6000x1500x5 a304l lc,111460150050,1,,,,
4 uds chapa 1500x6000x6 a-304,CHAPA INOX. 6000x1500x6 A304L LC,CHAPA INOX. 6000x1500x6 A304L LC,111460150060,4 uds chapa 1500x6000x6 a-304,chapa inox. 6000x1500x6 a304l lc,111460150060,4,,,,
"2 chapas 6000x2000x4 mm inox 304 lc,",CHAPA INOX. 6000x2000x4 A304L LC,CHAPA INOX. 6000x2000x4 A304L LC,111460200040,"2 chapas 6000x2000x4 mm inox 304 lc,",chapa inox. 6000x2000x4 a304l lc,111460200040,2,,,,
"1 chapa aisi304 lc de 6000 x 2000 x 6 mm,",CHAPA INOX. 6000x2000x6 A304L LC,CHAPA INOX. 6000x2000x6 A304L LC,111460200060,"1 chapa aisi304 lc de 6000 x 2000 x 6 mm,",chapa inox. 6000x2000x6 a304l lc,111460200060,1,,,,
"- 1ud chapa acero inox. aisi-304 lagrimada de 2000x1000x3mm,",CHAPA LAGRIMADA 2000x1000x3 A304 - DIN,CHAPA LAGRIMADA 2000x1000x3 A304 - DIN,1M14201030,"- 1ud chapa acero inox. aisi-304 lagrimada de 2000x1000x3mm,",chapa inox. 2000x1000x3 a304l lc,111420100030,1,,,,
CHAPA LAGRIMADA INOX A304 3000x1000x3mm = 4 unds,CHAPA LAGRIMADA 2000x1000x3 A304 - DIN,CHAPA LAGRIMADA 2000x1000x3 A304 - DIN,1M14201030,chapa lagrimada inox a304 3000x1000x3mm = 4 unds,chapa lagrimada 3000x1000x3 a304 - din,1m14301030,4,,,,
CUADRADO AISI304 25X25 MM,CUADRADO INOX. A-304 de 25 CALIBRADO,CUADRADO INOX. A-304 de 25 CALIBRADO,251125,cuadrado aisi304 25x25 mm,malla electrosoldada 2x1 25x25 d.3 a304,1711210325,,,,,
"cuadrado inox. a-316 de 60 mm. laminado 3,00 mt 87,000 kg 7,508â‚¬,",CUADRADO INOX. A-304 de 60 CALIBRADO,CUADRADO INOX. A-304 de 60 CALIBRADO,251160,"cuadrado inox. a-316 de 60 mm. laminado 3,00 mt 87,000 kg 7,508â‚¬,",tubo inox. 60x60x3 a316 ti 2b,34t106030,1,kg,m,3.0,87.0
"- inox. 304 hexÃ¡gono de 13 ....... 2 barras,",HEXAGONAL INOX. A-304 de 13 mm.,HEXAGONAL INOX. A-304 de 13 mm.,221113,"- inox. 304 hexã¡gono de 13 ....... 2 barras,",hexagonal inox. a-304 de 13 mm.,221113,2,,,,
"5. juntas goma dn 100,",JUNTA GOMA TIPO 1 DN-100 SBR PN10/16,JUNTA GOMA TIPO 1 DN-100 SBR PN10/16,41C00100,"5. juntas goma dn 100,",junta brida carton comprimido. dn 100,41b00100,5,,,,
"10. juntas goma dn 80,",JUNTA GOMA TIPO 1 DN-80 SBR PN10/16,JUNTA GOMA TIPO 1 DN-80 SBR PN10/16,41C00080,"10. juntas goma dn 80,",junta brida carton comprimido. dn 80,41b00080,10,,,,
PLETINA INOX A304 100x6mm pulida = 6 mts,PLETINA 100x6 INOX. A304 PULIDA,PLETINA 100x6 INOX. A304 PULIDA,241210006,pletina inox a304 100x6mm pulida = 6 mts,pletina 100x6 inox. a304 pulida,241210006,1,,m,6.0,
12 mts pletina inox 304 100x8,PLETINA 100x8 INOX. A304,PLETINA 100x8 INOX. A304,241410008,12 mts pletina inox 304 100x8,pletina 100x8 inox. a304 laminada,231410008,1,,m,12.0,
1 PLETINA A-316 120X8,PLETINA 120x8 INOX. A316,PLETINA 120x8 INOX. A316,245412008,1 pletina a-316 120x8,pletina 120x8 inox. a316,245412008,1,,,,
"pletina de 20x25x3 metros en inox 304,",PLETINA 25x20 INOX. A304 LAMINADA,PLETINA 25x20 INOX. A304 LAMINADA,231402520,"pletina de 20x25x3 metros en inox 304,",pletina 25x20 inox. a304 laminada,231402520,1,,,,
"3 pletinas 25x3 aisi 304,",PLETINA 25x3 INOX. A304,PLETINA 25x3 INOX. A304,241402503,"3 pletinas 25x3 aisi 304,",pletina 25x3 inox. a304,241402503,3,,,,
"60 mts. de pletina 30x4 mm. aisi-304,",PLETINA 30x4 INOX. A304,PLETINA 30x4 INOX. A304,241403004,"60 mts. de pletina 30x4 mm. aisi-304,",pletina 30x4 inox. a304,241403004,1,,m,60.0,
"5. 6 metros pletina 30x6 mm en 316,",PLETINA 30x6 INOX. A316,PLETINA 30x6 INOX. A316,245403006,"5. 6 metros pletina 30x6 mm en 316,",pletina 30x6 inox. a316,245403006,1,,m,6.0,
1 unidades de PLETINA 30 X 6 mm ESPESOR X 6000 mm LONGITUD- calidad SS-316L,PLETINA 30x6 INOX. A316,PLETINA 30x6 INOX. A316,245403006,1 unidades de pletina 30 x 6 mm espesor x 6000 mm longitud- calidad ss-316l,pletina 30x6 inox. a316,245403006,1,,m,6000.0,
"pletina inox a304 40x4mm = 30 mts,",PLETINA 40x4 INOX. A304,PLETINA 40x4 INOX. A304,241404004,"pletina inox a304 40x4mm = 30 mts,",pletina 40x4 inox. a304 laminada,231404004,1,,m,30.0,
PLETINA INOX 40x4,PLETINA 40x4 INOX. A304,PLETINA 40x4 INOX. A304,241404004,pletina inox 40x4,pletina 40x4 inox. a304 laminada,231404004,,,,,
"pletina inox a304 40x5mm = 12 mts,",PLETINA 40x5 INOX. A304,PLETINA 40x5 INOX. A304,241404005,"pletina inox a304 40x5mm = 12 mts,",pletina 40x5 inox. a304,241404005,1,,m,12.0,
PLETINA AISI304 40X5 MM,PLETINA 40x5 INOX. A304,PLETINA 40x5 INOX. A304,241404005,pletina aisi304 40x5 mm,pletina 40x5 inox. a304,241404005,,,,,
"pletina inox 40x5 a316 --> 18 mts,",PLETINA 40x5 INOX. A316,PLETINA 40x5 INOX. A316,245404005,"pletina inox 40x5 a316 --> 18 mts,",pletina 40x5 inox. a316,245404005,1,,m,18.0,
"pletina inox a304 40x6mm = 12 mts,",PLETINA 40x6 INOX. A304,PLETINA 40x6 INOX. A304,241404006,"pletina inox a304 40x6mm = 12 mts,",pletina 40x6 inox. a304 laminada,231404006,1,,m,12.0,
1 barra de pletina de 40x6,PLETINA 40x6 INOX. A304,PLETINA 40x6 INOX. A304,241404006,1 barra de pletina de 40x6,pletina 40x6 inox. a304,241404006,1,,,,
"pletina inox a304 40x8mm = 12 mts,",PLETINA 40x8 INOX. A304,PLETINA 40x8 INOX. A304,241404008,"pletina inox a304 40x8mm = 12 mts,",pletina 40x8 inox. a304 laminada,231404008,1,,m,12.0,
12m pletina 40x8mm,PLETINA 40x8 INOX. A304,PLETINA 40x8 INOX. A304,241404008,12m pletina 40x8mm,pletina 40x8 inox. a304,241404008,1,,m,12.0,
"pletina laminada 50x20 a304 --> 6 mts,",PLETINA 50x20 INOX. A304 LAMINADA,PLETINA 50x20 INOX. A304 LAMINADA,231405020,"pletina laminada 50x20 a304 --> 6 mts,",pletina 50x20 inox. a304 laminada,231405020,1,,m,6.0,
1 PLETINA 50X6 AISI 304,PLETINA 50x6 INOX. A304,PLETINA 50x6 INOX. A304,241405006,1 pletina 50x6 aisi 304,pletina 50x6 inox. a304,241405006,1,,,,
"150 metros pletina 50 x 8 aisi 304: 3.50â‚¬/kg stock,",PLETINA 50x8 INOX. A304,PLETINA 50x8 INOX. A304,241405008,"150 metros pletina 50 x 8 aisi 304: 3.50â‚¬/kg stock,",pletina 50x8 inox. a304,241405008,1,,m,150.0,
"2) 60 x 15 mm pletina a-304 : 18 metros --> 5,39 â‚¬/kg.,",PLETINA 60x15 INOX. A304 LAMINADA,PLETINA 60x15 INOX. A304 LAMINADA,231406015,"2) 60 x 15 mm pletina a-304 : 18 metros --> 5,39 â‚¬/kg.,",pletina 60x15 inox. a304,241406015,1,,m,18.0,
"60x40 pletinainox 304 3 mtrs,",PLETINA 60x40 INOX. A304 LAMINADA,PLETINA 60x40 INOX. A304 LAMINADA,231406040,"60x40 pletinainox 304 3 mtrs,",pletina 60x40 inox. a304 laminada,231406040,1,,m,3.0,
"pletina inox a304 60x6mm = 6 mts,",PLETINA 60x6 INOX. A304,PLETINA 60x6 INOX. A304,241406006,"pletina inox a304 60x6mm = 6 mts,",pletina 60x6 inox. a304 laminada,231406006,1,,m,6.0,
5 UDS PLETINA 60X6 INOX A 304,PLETINA 60x6 INOX. A304,PLETINA 60x6 INOX. A304,241406006,5 uds pletina 60x6 inox a 304,pletina 60x6 inox. a304,241406006,5,,,,
5 UDS PLETINA 60X8 INOX A 304,PLETINA 60x8 INOX. A304,PLETINA 60x8 INOX. A304,241406008,5 uds pletina 60x8 inox a 304,pletina 60x8 inox. a304,241406008,5,,,,
"70x40 pletina laminada inox 304 l= 3500 1 pieza,",PLETINA 70x40 INOX. A304 LAMINADA,PLETINA 70x40 INOX. A304 LAMINADA,231407040,"70x40 pletina laminada inox 304 l= 3500 1 pieza,",pletina 70x40 inox. a304 laminada,231407040,1,,,,
PLETINA AISI304 80X8 MM,PLETINA 80x8 INOX. A304,PLETINA 80x8 INOX. A304,241408008,pletina aisi304 80x8 mm,pletina 80x8 inox. a304,241408008,,,,,
AISI 303 red 100 1pz x 3200 mm,REDONDO INOX. A-303 de 100,REDONDO INOX. A-303 de 100,21201000,aisi 303 red 100 1pz x 3200 mm,redondo inox. a-303 de 100,21201000,1,,m,3200.0,
