sku,description
3L11201010,ANGULOS 20x10x1 A-304 2B
3L11202010,ANGULOS 20x20x1 A-304 2B
3L11202015,"ANGULOS 20x20x1,5 A-304 2B"
271402002003,ANGULOS 20x20x3 A-304 L.C.
275402002003,ANGULOS 20x20x3 A-316 L.C.
3L11252510,ANGULOS 25x25x1 A-304 2B
3L11252515,"ANGULOS 25x25x1,5  A-304 2B"
271402502503,ANGULOS 25x25x3 A-304 L.C.
271302502503,ANGULOS 25x25x3 A-304 SATINADO
275402502503,ANGULOS 25x25x3 A-316 L.C.
3L11301010,ANGULOS 30x10x1 A-304 2B
3L11303010,ANGULOS 30x30x1  A-304 2B
3L11303015,"ANGULOS 30x30x1,5 A-304 2B"
271403003003,ANGULOS 30x30x3 A-304 L.C.
275403003003,ANGULOS 30x30x3 A-316 L.C.
271403503503,ANGULOS 35x35x3 A-304 L.C.
275403503504,ANGULOS 35x35x4 A-316 L.C.
3L11402015,"ANGULOS 40x20x1,5 A-304 2B"
3L11404015,"ANGULOS 40x40x1,5 A-304 2B"
271404004004,ANGULOS 40x40x4 A-304 L.C.
271304004004,ANGULOS 40x40x4 A-304 SATINADO
275404004004,ANGULOS 40x40x4 A-316 L.C.
3L11505015,"ANGULOS 50x50x1,5 A-304 2B"
271405005005,ANGULOS 50x50x5 A-304 L.C.
271305005005,ANGULOS 50x50x5 A-304 SATINADO
275405005005,ANGULOS 50x50x5 A-316 L.C.
3L13252515,"ANGULOS A304 25x25x1,5 SATINADO"
271202502503,ANGULOS A304 25x25x3  LC PULIDO
271203003003,ANGULOS A304 30X30X3 LC PULIDO
3L12303010,ANGULOS A304 30x30x1 PULIDOS
3L13303015,"ANGULOS A304 30x30x1,5  SATINADO"
3L12303015,"ANGULOS A304 30x30x1,5 PULIDOS"
271204004004,ANGULOS A304 40X40X4 LC PULIDO
3L12402015,"ANGULOS A304 40x20x1,5 PULIDOS"
3L13404015,"ANGULOS A304 40x40x1,5  SATINADO"
3L12404015,"ANGULOS A304 40x40x1,5 PULIDOS"
3L13505015,"ANGULOS A304 50X50X1,5 SATINADO"
3L12505015,"ANGULOS A304 50x50x1,5 PULIDOS"
40I002642080,BRIDA DN-80 DIN-2642 CADMIADA
A1ALP8008080,BRIDA DN-800 ALUMINIO D-2642 PN10 EPOXY
A2ALP100,BRIDA DN100 ALUMINIO CIEGA D-2527 EPOXY
40G1025766006100,"BRIDA PLANA DIN2576 01A DN600/609,6 PN10 ISO A304"
40G5025766006100,"BRIDA PLANA DIN2576 01A DN600/609,6 PN10 ISO A316"
40G1025767007110,"BRIDA PLANA DIN2576 01A DN700/711,2 PN10 ISO A304"
40G5025760100137,"BRIDA PLANA EN1092-1 01A DN10/17,2  PN10/40 ISO A316"
40G1025761001040,BRIDA PLANA EN1092-1 01A DN100/104 PN10/16 MM A304
40G5025761001040,BRIDA PLANA EN1092-1 01A DN100/104 PN10/16 MM A316
40G1025761001143,"BRIDA PLANA EN1092-1 01A DN100/114,3 PN10/16 ISO A304"
40G5025761001143,"BRIDA PLANA EN1092-1 01A DN100/114,3 PN10/16 ISO A316"
40G1025761251290,BRIDA PLANA EN1092-1 01A DN125/129 PN10/16 MM A304
40G5025762002193,"BRIDA PLANA EN1092-1 01A DN200/219,1 PN10 ISO A316"
40G1025022002191,"BRIDA PLANA EN1092-1 01A DN200/219,1 PN16 ISO A304"
40G5025022002191,"BRIDA PLANA EN1092-1 01A DN200/219,1 PN16 ISO A316"
40G1025762002193,"BRIDA PLANA EN1092-1 01A DN200/219,3 PN10 ISO A304"
40G1025760250280,BRIDA PLANA EN1092-1 01A DN25/28 PN10/40 MM A304
40G5025760250280,BRIDA PLANA EN1092-1 01A DN25/28 PN16/40 MM A316
40G5025760400430,BRIDA PLANA EN1092-1 01A DN40/43 PN10/40 MM A316
40G1025760400483,"BRIDA PLANA EN1092-1 01A DN40/48,3 PN10/40 ISO A304"
40G5025760400483,"BRIDA PLANA EN1092-1 01A DN40/48,3 PN10/40 ISO A316"
40G1025764004064,"BRIDA PLANA EN1092-1 01A DN400/406,4 PN10 ISO A304"
40G5025764004064,"BRIDA PLANA EN1092-1 01A DN400/406,4 PN10 ISO A316"
40G1025764504560,"BRIDA PLANA EN1092-1 01A DN450/457,2 PN10 ISO A304"
40G1025760500530,BRIDA PLANA EN1092-1 01A DN50/53 PN10/40 MM A304
40G5025760500530,BRIDA PLANA EN1092-1 01A DN50/53 PN10/40 MM A316
40G1025760500603,"BRIDA PLANA EN1092-1 01A DN50/60,3 PN10/40 ISO A304"
40G5025760500603,"BRIDA PLANA EN1092-1 01A DN50/60,3 PN10/40 ISO A316"
40G1025760500630,BRIDA PLANA EN1092-1 01A DN50/63 PN10/16 ISO A304
40G1025765005060,BRIDA PLANA EN1092-1 01A DN500/506 PN10 MM A304
40G5025027007110,"BRIDA PLANA EN1092-1 01A DN700/711,2 PN16 ISO A316"
40G1025760800840,BRIDA PLANA EN1092-1 01A DN80/84 PN10/16 MM A304
40G5025760800840,BRIDA PLANA EN1092-1 01A DN80/84 PN10/16 MM A316
40G1025760800889,"BRIDA PLANA EN1092-1 01A DN80/88,9 PN10/16 ISO A304"
40G5025760800889,"BRIDA PLANA EN1092-1 01A DN80/88,9 PN10/16 ISO A316"
40G1025768008130,"BRIDA PLANA EN1092-1 01A DN800/812,8 PN10 ISO A304"
111120100003,"CHAPA INOX. 2000x1000x0,3 A304 2B"
111120100004,"CHAPA INOX. 2000x1000x0,4 A304 2B"
111620100004,"CHAPA INOX. 2000x1000x0,4 A304 BA"
111120100005,"CHAPA INOX. 2000x1000x0,5 A304 2B"
111P20100005,"CHAPA INOX. 2000x1000x0,5 A304 2B + PVC"
111520100008,"CHAPA INOX. 2000x1000x0,8 A304 PULIDO M+PVC"
111320100008,"CHAPA INOX. 2000x1000x0,8 A304 SAT+PVC"
117120100008,"CHAPA INOX. 2000x1000x0,8 A310"
119220100008,"CHAPA INOX. 2000x1000x0,8 A430 BAP"
119320100008,"CHAPA INOX. 2000x1000x0,8 A430 SAT+PVC"
119620100005D,CHAPA INOX. 2000x1000x0.5 A430 BA DET
111120100010,CHAPA INOX. 2000x1000x1 A304 2B
111P20100010,CHAPA INOX. 2000x1000x1 A304 2B + PVC
111520100010,CHAPA INOX. 2000x1000x1 A304 PULIDO M+PVC
111320100010,CHAPA INOX. 2000x1000x1 A304 SAT+PVC
115220100010,CHAPA INOX. 2000x1000x1 A316 BAP
115520100010,CHAPA INOX. 2000x1000x1 A316 PULIDA M+PVC
115320100010,CHAPA INOX. 2000x1000x1 A316 SAT+PVC
115120100010,CHAPA INOX. 2000x1000x1 A316L 2B
111120100012,"CHAPA INOX. 2000x1000x1,2 A304 2B"
111P20100012,"CHAPA INOX. 2000x1000x1,2 A304 2B + PVC"
111220100012,"CHAPA INOX. 2000x1000x1,2 A304 BAP"
111520100012,"CHAPA INOX. 2000x1000x1,2 A304 PULIDO M+PVC"
111320100012,"CHAPA INOX. 2000x1000x1,2 A304 SAT+PVC"
115120100012,"CHAPA INOX. 2000x1000x1,2 A316 2B"
115P20100012,"CHAPA INOX. 2000x1000x1,2 A316 2B + PVC"
119620100012,"CHAPA INOX. 2000x1000x1,2 A430 BA"
119220100012,"CHAPA INOX. 2000x1000x1,2 A430 BAP"
119320100012,"CHAPA INOX. 2000x1000x1,2 A430 SAT+PVC"
111120100015,"CHAPA INOX. 2000x1000x1,5 A304 2B"
111P20100015,"CHAPA INOX. 2000x1000x1,5 A304 2B + PVC"
111620100015,"CHAPA INOX. 2000x1000x1,5 A304 BA"
111520100015,"CHAPA INOX. 2000x1000x1,5 A304 PULIDO M+PVC"
111320100015,"CHAPA INOX. 2000x1000x1,5 A304 SAT+PVC"
11A120100015,"CHAPA INOX. 2000x1000x1,5 A431"
15112011508,"CHAPA INOX. 2000x1000x1,5 ABOCARDADO 8+8 A304"
111420100100,CHAPA INOX. 2000x1000x10 A304L LC
111520100100,CHAPA INOX. 2000x1000x10 A304L PULIDO M+PVC 1 CARA
111320100100,CHAPA INOX. 2000x1000x10 A304L SATIN+PVC (LC)
115420100120,CHAPA INOX. 2000x1000x12 A316 LC
111420100150,CHAPA INOX. 2000x1000x15 A304L LC
115420100150,CHAPA INOX. 2000x1000x15 A316L LC
111420100160,CHAPA INOX. 2000x1000x16 A304L LC
114120100020,CHAPA INOX. 2000x1000x2 A201 J4 2B
111120100020,CHAPA INOX. 2000x1000x2 A304 2B
111P20100020,CHAPA INOX. 2000x1000x2 A304 2B + PVC
111520100020,CHAPA INOX. 2000x1000x2 A304 PULIDO M+PVC
111320100020,CHAPA INOX. 2000x1000x2 A304 SAT+PVC
117120100020,CHAPA INOX. 2000x1000x2 A310S
115P20100020,CHAPA INOX. 2000x1000x2 A316 2B + PVC
115120100020,CHAPA INOX. 2000x1000x2 A316L 2B
115220100020,CHAPA INOX. 2000x1000x2 A316L BAP
116120100020,CHAPA INOX. 2000x1000x2 A321 2B
118120100020,CHAPA INOX. 2000x1000x2 A420 2B
119120100020,CHAPA INOX. 2000x1000x2 A430 2B
119220100020,CHAPA INOX. 2000x1000x2 A430 BAP
119320100020,CHAPA INOX. 2000x1000x2 A430 SAT+PVC
118320100020,CHAPA INOX. 2000x1000x2 A430 SATINADO
11A120100020,CHAPA INOX. 2000x1000x2 A431
111120100025,"CHAPA INOX. 2000x1000x2,5 A304 2B"
111P20100025,"CHAPA INOX. 2000x1000x2,5 A304 2B + PVC"
115320100025,"CHAPA INOX. 2000x1000x2,5 A316L SAT+PVC"
11T120100025,"CHAPA INOX. 2000x1000x2,5 A316Ti 2B"
119120100025,"CHAPA INOX. 2000x1000x2,5 A430 2B"
111420100200,CHAPA INOX. 2000x1000x20 A304L LC
115420100200,CHAPA INOX. 2000x1000x20 A316L LC
111420100250,CHAPA INOX. 2000x1000x25 A304L LC
115420100250,CHAPA INOX. 2000x1000x25 A316L LC
11T120100030,CHAPA INOX. 2000x1000x3  A316TI 2B
111120100030,CHAPA INOX. 2000x1000x3 A304 2B
111P20100030,CHAPA INOX. 2000x1000x3 A304 2B + PVC
111520100030,CHAPA INOX. 2000x1000x3 A304 PULIDO M+PVC
111320100030,CHAPA INOX. 2000x1000x3 A304 SATIN+PVC
111420100030,CHAPA INOX. 2000x1000x3 A304L LC
115P20100030,CHAPA INOX. 2000x1000x3 A316 2B + PVC
115120100030,CHAPA INOX. 2000x1000x3 A316L 2B
111520100040,CHAPA INOX. 2000x1000x4 A304 PULIDO M+PVC
111320100040,CHAPA INOX. 2000x1000x4 A304 SATIN+PVC
111120100040,CHAPA INOX. 2000x1000x4 A304L 2B
111420100040,CHAPA INOX. 2000x1000x4 A304L LC
115P20100040,CHAPA INOX. 2000x1000x4 A316 2B + PVC
115220100040,CHAPA INOX. 2000x1000x4 A316 BAP
115520100040,CHAPA INOX. 2000x1000x4 A316 PULIDA M+PVC
115120100040,CHAPA INOX. 2000x1000x4 A316L 2B
115420100040,CHAPA INOX. 2000x1000x4 A316L LC
115320100040,CHAPA INOX. 2000x1000x4 A316L SAT+PVC
116420100040,CHAPA INOX. 2000x1000x4 A321 LC
111520100050,CHAPA INOX. 2000x1000x5 A304 PULIDO M+PVC
111320100050,CHAPA INOX. 2000x1000x5 A304 SATIN+PVC
111120100050,CHAPA INOX. 2000x1000x5 A304L 2B
111420100050,CHAPA INOX. 2000x1000x5 A304L LC
115P20100050,CHAPA INOX. 2000x1000x5 A316 2B + PVC
115520100050,CHAPA INOX. 2000x1000x5 A316 PULIDA M+PVC
115120100050,CHAPA INOX. 2000x1000x5 A316L 2B
115420100050D,CHAPA INOX. 2000x1000x5 A316L DET. LC
115420100050,CHAPA INOX. 2000x1000x5 A316L LC
115320100050,CHAPA INOX. 2000x1000x5 A316L SAT+PVC
116420100050,CHAPA INOX. 2000x1000x5 A321 LC
111220100060,CHAPA INOX. 2000x1000x6 A304 BAP
111520100060,CHAPA INOX. 2000x1000x6 A304 PULIDO M+PVC
111320100060,CHAPA INOX. 2000x1000x6 A304 SATIN+PVC
111120100060,CHAPA INOX. 2000x1000x6 A304L 2B
111420100060,CHAPA INOX. 2000x1000x6 A304L LC
111420100080,CHAPA INOX. 2000x1000x8 A304L LC
111320100080,CHAPA INOX. 2000x1000x8 A304L SATIN+PVC (LC)
115420100080,CHAPA INOX. 2000x1000x8 A316L LC
115320100080,CHAPA INOX. 2000x1000x8 A316L SAT+PVC
119625125010,CHAPA INOX. 2500x1250x1 A430 BA
111125125012,"CHAPA INOX. 2500x1250x1,2 A304 2B"
115125125012,"CHAPA INOX. 2500x1250x1,2 A316L 2B"
111125125015,"CHAPA INOX. 2500x1250x1,5 A304 2B"
111P25125015,"CHAPA INOX. 2500x1250x1,5 A304 2B + PVC"
111P30100012,"CHAPA INOX. 3000x1000x1,2 A304 2B + PVC"
115130100012,"CHAPA INOX. 3000x1000x1,2 A316 2B"
111130100015,"CHAPA INOX. 3000x1000x1,5 A304 2B"
111P30100015,"CHAPA INOX. 3000x1000x1,5 A304 2B + PVC"
111330100015,"CHAPA INOX. 3000x1000x1,5 A304 SAT+PVC"
111430100100,CHAPA INOX. 3000x1000x10 A304L LC
119130125010,CHAPA INOX. 3000x1250x1 A430 2B
119630125010,CHAPA INOX. 3000x1250x1 A430 BA
119230125010,CHAPA INOX. 3000x1250x1 A430 BAP
119330125010,CHAPA INOX. 3000x1250x1 A430 SAT+PVC
111130125012,"CHAPA INOX. 3000x1250x1,2 A304 2B"
111P30125012,"CHAPA INOX. 3000x1250x1,2 A304 2B + PVC"
111230125012,"CHAPA INOX. 3000x1250x1,2 A304 BAP"
111F30125012,"CHAPA INOX. 3000x1250x1,2 A304 DUPLO"
119D30125012,"CHAPA INOX. 3000x1250x1,2 A430 BA (2CAR)"
119230125012,"CHAPA INOX. 3000x1250x1,2 A430 BAP"
11T130125015,"CHAPA INOX. 3000x1250x1,5  A316TI 2B"
111130125015,"CHAPA INOX. 3000x1250x1,5 A304 2B"
111P30125015,"CHAPA INOX. 3000x1250x1,5 A304 2B + PVC"
111230125015,"CHAPA INOX. 3000x1250x1,5 A304 BAP"
111E30125015,"CHAPA INOX. 3000x1250x1,5 A304 BAP-ESPECIALES"
111530125015,"CHAPA INOX. 3000x1250x1,5 A304 PULIDO M+PVC"
111330125015,"CHAPA INOX. 3000x1250x1,5 A304 SATIN+PVC"
115P30125015,"CHAPA INOX. 3000x1250x1,5 A316 2B + PVC"
111530125020,CHAPA INOX. 3000x1250x2 A304 PULIDO M+PVC
111330125020,CHAPA INOX. 3000x1250x2 A304 SATIN+PVC
115P30125020,CHAPA INOX. 3000x1250x2 A316 2B + PVC
115130125025,"CHAPA INOX. 3000x1250x2,5 A316L 2B"
119130125025,"CHAPA INOX. 3000x1250x2,5 A430 2B"
111130125030,CHAPA INOX. 3000x1250x3 A304 2B
111P30125030,CHAPA INOX. 3000x1250x3 A304 2B + PVC
111530150008,"CHAPA INOX. 3000x1500x0,8 A304 PULIDO M+PVC"
111530150009,"CHAPA INOX. 3000x1500x0,8 A304 PULIDO M+PVC DETERIORADO"
111330150008,"CHAPA INOX. 3000x1500x0,8 A304 SATIN+PVC"
111330150010,CHAPA INOX. 3000x1500x1 A304 SATIN+PVC
115230150010,CHAPA INOX. 3000x1500x1 A316 BA+PVC
115530150010,CHAPA INOX. 3000x1500x1 A316 PULIDA M+PVC
115330150010,CHAPA INOX. 3000x1500x1 A316 SAT+PVC
115130150010,CHAPA INOX. 3000x1500x1 A316L 2B
11T130150010,CHAPA INOX. 3000x1500x1 A316TI 2B
119230150010,CHAPA INOX. 3000x1500x1 A430 BAP
119330150010,CHAPA INOX. 3000x1500x1 A430 SAT+PVC
111130150012,"CHAPA INOX. 3000x1500x1,2 A304 2B"
111P30150012,"CHAPA INOX. 3000x1500x1,2 A304 2B + PVC"
115330150012,"CHAPA INOX. 3000x1500x1,2 A316L SAT+PVC"
11T130150012,"CHAPA INOX. 3000x1500x1,2 A316TI 2B"
119330150012,"CHAPA INOX. 3000x1500x1,2 A430 SAT+PVC"
111130150015,"CHAPA INOX. 3000x1500x1,5 A304 2B"
111P30150015,"CHAPA INOX. 3000x1500x1,5 A304 2B + PVC"
111630150015,"CHAPA INOX. 3000x1500x1,5 A304 BA"
111230150015,"CHAPA INOX. 3000x1500x1,5 A304 BAP"
115130150015,"CHAPA INOX. 3000x1500x1,5 A316L 2B"
115330150015,"CHAPA INOX. 3000x1500x1,5 A316L SAT+PVC"
11T130150015,"CHAPA INOX. 3000x1500x1,5 A316TI 2B"
119130150015,"CHAPA INOX. 3000x1500x1,5 A430 2B"
111330150017,"CHAPA INOX. 3000x1500x1,7 A304 SATIN."
111230150100,CHAPA INOX. 3000x1500x10 A304 BA+PVC
111330150100,CHAPA INOX. 3000x1500x10 A304 SATIN+PVC
111430150100,CHAPA INOX. 3000x1500x10 A304L LC
115430150100,CHAPA INOX. 3000x1500x10 A316L LC
11T430150100,CHAPA INOX. 3000x1500x10 A316Ti 1.4571
116430150100,CHAPA INOX. 3000x1500x10 A321 LC
11T430150120,CHAPA INOX. 3000x1500x12 A316TI LC
111430150150,CHAPA INOX. 3000x1500x15 A304L LC
115430150150,CHAPA INOX. 3000x1500x15 A316L LC
11T430150150,CHAPA INOX. 3000x1500x15 A316Ti 1.4571
111430150160,CHAPA INOX. 3000x1500x16 A304L LC
111430150180,CHAPA INOX. 3000x1500x18 A304L LC
111130150020,CHAPA INOX. 3000x1500x2 A304 2B
111P30150020,CHAPA INOX. 3000x1500x2 A304 2B + PVC
111630150020,CHAPA INOX. 3000x1500x2 A304 BA
111230150020,CHAPA INOX. 3000x1500x2 A304 BAP
115230150020,CHAPA INOX. 3000x1500x2 A316 BA+PVC
115530150020,CHAPA INOX. 3000x1500x2 A316 PULIDA M+PVC
115330150020,CHAPA INOX. 3000x1500x2 A316 SAT+PVC
