sku,description
21100251,REDONDO INOX. A-304 de 25 h9
21102500,REDONDO INOX. A-304 de 250
21100030,REDONDO INOX. A-304 de 3
21120030,REDONDO INOX. A-304 de 3  BRILLO
21100035,"REDONDO INOX. A-304 de 3,5"
21100300,REDONDO INOX. A-304 de 30
21130300,REDONDO INOX. A-304 de 30 SATINADO
21100301,REDONDO INOX. A-304 de 30 h9
21100320,REDONDO INOX. A-304 de 32
21120320,REDONDO INOX. A-304 de 32 BRILLO
21103250,REDONDO INOX. A-304 de 325
21100350,REDONDO INOX. A-304 de 35
21100351,REDONDO INOX. A-304 de 35 h9
21103500,REDONDO INOX. A-304 de 350
21120040,REDONDO INOX. A-304 de 4  PULIDO
2R1040,REDONDO INOX. A-304 de 4 ROLLO-ALAMBRE
21100045,"REDONDO INOX. A-304 de 4,5"
21100400,REDONDO INOX. A-304 de 40
21100401,REDONDO INOX. A-304 de 40 h9
21104000,REDONDO INOX. A-304 de 400
21100500,REDONDO INOX. A-304 de 50
21100501,REDONDO INOX. A-304 de 50 h9
21100520,REDONDO INOX. A-304 de 52
21100550,REDONDO INOX. A-304 de 55
21100060,REDONDO INOX. A-304 de 6
2R1060,REDONDO INOX. A-304 de 6 ROLLO-ALAMBRE
21100065,"REDONDO INOX. A-304 de 6,5"
21100600,REDONDO INOX. A-304 de 60
21100620,REDONDO INOX. A-304 de 62
21100650,REDONDO INOX. A-304 de 65
21100070,REDONDO INOX. A-304 de 7
21100075,"REDONDO INOX. A-304 de 7,5"
21100700,REDONDO INOX. A-304 de 70
21100750,REDONDO INOX. A-304 de 75
21100080,REDONDO INOX. A-304 de 8
21120080,REDONDO INOX. A-304 de 8 PULIDO
2R1080,REDONDO INOX. A-304 de 8 ROLLO-ALAMBRE
21700060,REDONDO INOX. A-310s de 6
21700080,REDONDO INOX. A-310s de 8
21700900,REDONDO INOX. A-310s de 90
21500100,REDONDO INOX. A-316 de 10
21501000,REDONDO INOX. A-316 de 100
21501050,REDONDO INOX. A-316 de 105
21500130,REDONDO INOX. A-316 de 13
21501300,REDONDO INOX. A-316 de 130
21501350,REDONDO INOX. A-316 de 135
21500140,REDONDO INOX. A-316 de 14
21501400,REDONDO INOX. A-316 de 140
21501450,REDONDO INOX. A-316 de 145
21501900,REDONDO INOX. A-316 de 190
21501950,REDONDO INOX. A-316 de 195
21500020,REDONDO INOX. A-316 de 2
21500200,REDONDO INOX. A-316 de 20
21502000,REDONDO INOX. A-316 de 200
21502100,REDONDO INOX. A-316 de 210
21500220,REDONDO INOX. A-316 de 22
21502200,REDONDO INOX. A-316 de 220
21502300,REDONDO INOX. A-316 de 230
21500280,REDONDO INOX. A-316 de 28
21502800,REDONDO INOX. A-316 de 280
21502900,REDONDO INOX. A-316 de 290
21500030,REDONDO INOX. A-316 de 3
21500300,REDONDO INOX. A-316 de 30
21503000,REDONDO INOX. A-316 de 300
21500320,REDONDO INOX. A-316 de 32
21500420,REDONDO INOX. A-316 de 42
21500450,REDONDO INOX. A-316 de 45
21500480,REDONDO INOX. A-316 de 48
21500050,REDONDO INOX. A-316 de 5
21500500,REDONDO INOX. A-316 de 50
21500520,REDONDO INOX. A-316 de 52
21500550,REDONDO INOX. A-316 de 55
21500060,REDONDO INOX. A-316 de 6
21500600,REDONDO INOX. A-316 de 60
21500620,REDONDO INOX. A-316 de 62
21500070,REDONDO INOX. A-316 de 7
21500700,REDONDO INOX. A-316 de 70
21500750,REDONDO INOX. A-316 de 75
21500080,REDONDO INOX. A-316 de 8
21500800,REDONDO INOX. A-316 de 80
21500850,REDONDO INOX. A-316 de 85
21500090,REDONDO INOX. A-316 de 9
21500900,REDONDO INOX. A-316 de 90
21500950,REDONDO INOX. A-316 de 95
21T01600,REDONDO INOX. A-316TI de 160
21T00200,REDONDO INOX. A-316TI de 20
4B6111683114320,"REDUCCION 168,3/114,3 EXCENTRICA A304"
4B5511683139720,"REDUCCION 168,3/139,7 CONCEN.A316"
4B6111683139720,"REDUCCION 168,3/139,7 EXCENTRICA A-304"
4B5511683088920,"REDUCCION 168,3/88,9 CONCENT.A316"
4B5112040104020,REDUCCION 204/104 CONCENT.A-304
4B5512040104020,REDUCCION 204/104 CONCENT.A316L
611079760630317,"TORNILLO HEX. ROSC.CHAPA D-7976 6,3x31,7 A2"
611079710350320,"TORNILLO M-7971 3,5x32 C/CILINDRICA"
611079710390380,"TORNILLO M-7971 3,9x38 C/CILINDRICA"
191111,TRAMEX INOX. 1x1 30/2 10/2 DECAPADO A304
191121,TRAMEX INOX. 2x1 30/2 10/2 DECAPADO A304
191221,TRAMEX INOX.30/30/30/2/10-2 ELECPULI.2x1
F031110006,"TUBO 10x0,6 INOX. A-304"
34T110040,TUBO INOX. 100x100x4 A316 TI
341210040,TUBO INOX. 100x100x4 PULIDO A304
341310040,TUBO INOX. 100x100x4 SATIN A304
341110050,TUBO INOX. 100x100x5 A304 CS
345110050,TUBO INOX. 100x100x5 A316 CS
341210050,TUBO INOX. 100x100x5 PULIDO A-304
351310002020,TUBO INOX. 100x20x2 SATIN A304
351110004020,TUBO INOX. 100x40x2 A304 2B
355210004020,TUBO INOX. 100x40x2 A316 PULIDO
355110004020,TUBO INOX. 100x40x2 A316L
351210004020,TUBO INOX. 100x40x2 PULIDO A304
351310004020,TUBO INOX. 100x40x2 SATIN. A304
351210005020,TUBO INOX. 100x50x2 PULIDO A304
351210005021,TUBO INOX. 100x50x2 PULIDO A304 DETERIORADO
351310005020,TUBO INOX. 100x50x2 SATIN. A304
351110005030,TUBO INOX. 100x50x3 A304 CS
355110005030,TUBO INOX. 100x50x3 A316
35T110005030,TUBO INOX. 100x50x3 A316Ti
351212004020,TUBO INOX. 120X40X2 PULIDO A304
351212006030,TUBO INOX. 120X60X3 PULIDO A304
341112020,TUBO INOX. 120x120x2 A304
341112030,TUBO INOX. 120x120x3 A304
341312030,TUBO INOX. 120x120x3 A304 SATIN
345112030,TUBO INOX. 120x120x3 A316 CS
351212006020,TUBO INOX. 120x60x2 PULIDO A304
351312006020,TUBO INOX. 120x60x2 SATIN. A304
351112006030,TUBO INOX. 120x60x3 A304 CS
355112006030,TUBO INOX. 120x60x3 A316L
351312006030,TUBO INOX. 120x60x3 SATIN. A304
351120015050,TUBO INOX. 200x150x5 A304
351120015060,TUBO INOX. 200x150x6 A304 CS
341120010,TUBO INOX. 200x200x10 A304 CS
341120030,TUBO INOX. 200x200x3 A304 CS
345120030,TUBO INOX. 200x200x3 A316 CS
345120040,TUBO INOX. 200x200x4  A316 CS
3151020010,TUBO INOX. 20x1 A316 TIG 2B
3112020010,TUBO INOX. 20x1 PULIDO A304 TIG
3113020010,TUBO INOX. 20x1 SATIN. A304 TIG
3311020015,"TUBO INOX. 20x1,5 A304 2B DC"
3312020015,"TUBO INOX. 20x1,5 A304 PULIDO DC"
3313020015,"TUBO INOX. 20x1,5 A304 SATIN. DC"
345102010,TUBO INOX. 20x20x1 A316 2B
341202010,TUBO INOX. 20x20x1 PULIDO A304 CS
341302010,TUBO INOX. 20x20x1 SATIN. CS A304
341102015,"TUBO INOX. 20x20x1,5 A304 2B"
345102015,"TUBO INOX. 20x20x1,5 A316 2B"
345202015,"TUBO INOX. 20x20x1,5 A316 PULIDO"
3112025010,TUBO INOX. 25x1 PULIDO A304 TIG
3311025012,"TUBO INOX. 25x1,2 A304 2B DC"
3111025012,"TUBO INOX. 25x1,2 A304 TIG 2B"
3311025015,"TUBO INOX. 25x1,5 A304 2B DC"
3312025015,"TUBO INOX. 25x1,5 A304 PULIDO DC"
3313025015,"TUBO INOX. 25x1,5 A304 SATIN. DC"
351103001010,TUBO INOX. 30x10x1 A304 2B
351203001010,TUBO INOX. 30x10x1 PULIDO A304
351303001010,TUBO INOX. 30x10x1 SATIN. A304
351103001015,"TUBO INOX. 30x10x1,5 A304 2B"
355103001015,"TUBO INOX. 30x10x1,5 A316 2B"
355103001510,TUBO INOX. 30x15x1 A316 CS 2B
351203001510,TUBO INOX. 30x15x1 PULIDO A304
351103001512,"TUBO INOX. 30x15x1,2 A304 2B"
351103001515,"TUBO INOX. 30x15x1,5 A304 2B"
355103001515,"TUBO INOX. 30x15x1,5 A316 CS 2B"
355303001515,"TUBO INOX. 30x15x1,5 A316 CS SAT"
341103010,TUBO INOX. 30x30x1 A304 2B
345103010,TUBO INOX. 30x30x1 A316 2B
341203010,TUBO INOX. 30x30x1 PULIDO A304 CS
341103015,"TUBO INOX. 30x30x1,5 A304 2B"
345103015,"TUBO INOX. 30x30x1,5 A316 2B"
345203015,"TUBO INOX. 30x30x1,5 A316 PULIDO"
34T103015,"TUBO INOX. 30x30x1,5 A316 TI"
341203015,"TUBO INOX. 30x30x1,5 PULIDO A304 CS"
341303015,"TUBO INOX. 30x30x1,5 SATIN. CS A304"
341103020,TUBO INOX. 30x30x2 A304 2B
345103020,TUBO INOX. 30x30x2 A316 2B
341203020,TUBO INOX. 30x30x2 PULIDO A304 CS
3312033720,"TUBO INOX. 33,7x2 A304 PULIDO DC"
3111033720,"TUBO INOX. 33,7x2 A304 TIG 2B"
3152033720,"TUBO INOX. 33,7x2 A316 TIG PULIDO"
3151033720,"TUBO INOX. 33,7x2 A316L TIG 2B"
3112033720,"TUBO INOX. 33,7x2 PULIDO A304 TIG"
3113033720,"TUBO INOX. 33,7x2 SATIN. A304 TIG"
3311033015,"TUBO INOX. 33x1,5 A304 2B DC"
3312033015,"TUBO INOX. 33x1,5 A304 PULIDO DC"
3313033015,"TUBO INOX. 33x1,5 A304 SATIN. DC"
3111033015,"TUBO INOX. 33x1,5 A304 TIG 2B"
3151033015,"TUBO INOX. 33x1,5 A316 TIG 2B"
3152033015,"TUBO INOX. 33x1,5 A316 TIG PULIDO"
3111035010,TUBO INOX. 35x1 A304 TIG 2B
3311035015,"TUBO INOX. 35x1,5 A304 DC"
3312035015,"TUBO INOX. 35x1,5 A304 PULIDO DC"
3313035015,"TUBO INOX. 35x1,5 A304 SATIN. DC"
3111035015,"TUBO INOX. 35x1,5 A304 TIG 2B"
3151035015,"TUBO INOX. 35x1,5 A316 TIG 2B"
3151040010,TUBO INOX. 40x1 A316 TIG 2B
3112040010,TUBO INOX. 40x1 PULIDO A304 TIG
3113040010,TUBO INOX. 40x1 SATIN. A304 TIG
3311040015,"TUBO INOX. 40x1,5 A304 2B DC"
3211040015,"TUBO INOX. 40x1,5 A304 2B EN-10357 (ALIMENTARIO)"
3312040015,"TUBO INOX. 40x1,5 A304 PULIDO DC"
3312040016,"TUBO INOX. 40x1,5 A304 PULIDO DC DETERIORADO"
3212040015,"TUBO INOX. 40x1,5 A304 PULIDO EN-10357 (ALIMENTARIO)"
3313040015,"TUBO INOX. 40x1,5 A304 SATIN. DC"
3213040015,"TUBO INOX. 40x1,5 A304 SATINADO EN-10357 ALIMENTARIO"
3111040015,"TUBO INOX. 40x1,5 A304 TIG 2B"
3111040020,TUBO INOX. 40x2 A304 TIG 2B
3151040020,TUBO INOX. 40x2 A316L TIG 2B
3112040020,TUBO INOX. 40x2 PULIDO A304 TIG
351104002010,TUBO INOX. 40x20x1 A304 2B
355104002010,TUBO INOX. 40x20x1 A316 CS 2B
351204002010,TUBO INOX. 40x20x1 PULIDO A304
355204002015,"TUBO INOX. 40x20x1,5 A316 PULIDO"
35T104002015,"TUBO INOX. 40x20x1,5 A316Ti 2B"
351204002015,"TUBO INOX. 40x20x1,5 PULIDO A304"
351304002015,"TUBO INOX. 40x20x1,5 SATIN. A304"
351104002020,TUBO INOX. 40x20x2 A304 2B
355104002020,TUBO INOX. 40x20x2 A316 CS 2B
351204002020,TUBO INOX. 40x20x2 PULIDO A304
351304002020,TUBO INOX. 40x20x2 SATIN. A304
3311040030,TUBO INOX. 40x3 A304 2B DC
3312040030,TUBO INOX. 40x3 A304 PULIDO DC
3313040030,TUBO INOX. 40x3 A304 SATIN. DC
351104003015,"TUBO INOX. 40x30x1,5 A304 2B"
351204003015,"TUBO INOX. 40x30x1,5 PULIDO A304"
351304003015,"TUBO INOX. 40x30x1,5 SATIN. A304"
351204003020,TUBO INOX. 40x30x2 PULIDO A304
351304003020,TUBO INOX. 40x30x2 SATIN. A304
3111040040,TUBO INOX. 40x4 A304 TIG 2B
341104010,TUBO INOX. 40x40x1 A304 2B
345104010,TUBO INOX. 40x40x1 A316 2B
341204010,TUBO INOX. 40x40x1 PULIDO A304 CS
341104012,"TUBO INOX. 40x40x1,2 A304 2B"
341204012,"TUBO INOX. 40x40x1,2 PULIDO A304"
341304012,"TUBO INOX. 40x40x1,2 SATIN. A304"
341104015,"TUBO INOX. 40x40x1,5 A304 2B"
341104017,"TUBO INOX. 40x40x1,5 A304 2B (Largo=6200)"
345104015,"TUBO INOX. 40x40x1,5 A316 2B"
34T104015,"TUBO INOX. 40x40x1,5 A316 TI"
341204015,"TUBO INOX. 40x40x1,5 PULIDO A304 CS"
341204016,"TUBO INOX. 40x40x1,5 PULIDO A304 CS DETERIORADO"
341304015,"TUBO INOX. 40x40x1,5 SATIN. CS A304"
341104020,TUBO INOX. 40x40x2 A304 2B
345104020,TUBO INOX. 40x40x2 A316 2B
345204020,TUBO INOX. 40x40x2 A316 PULIDO
345304020,TUBO INOX. 40x40x2 A316 SATINADO
34T104020,TUBO INOX. 40x40x2 A316 TI 2B
341204020,TUBO INOX. 40x40x2 PULIDO A304
341304020,TUBO INOX. 40x40x2 SATIN. CS A304
341104030,TUBO INOX. 40x40x3 A304 CS
345104030,TUBO INOX. 40x40x3 A316 CS
34T104030,TUBO INOX. 40x40x3 A316TI
34T204030,TUBO INOX. 40x40x3 A316TI  PULIDO
341204030,TUBO INOX. 40x40x3 PULIDO A304
341304030,TUBO INOX. 40x40x3 SATIN.A304
341104040,TUBO INOX. 40x40x4 A-304 CS
345104040,TUBO INOX. 40x40x4 A316 CS
341304040,TUBO INOX. 40x40x4 SATIN. A304
3113045012,"TUBO INOX. 45x1,2 A304 TIG SATINADO"
3311045015,"TUBO INOX. 45x1,5 A304 2B DC"
3111045025,"TUBO INOX. 45x2,5 A304 TIG 2B"
341104515,"TUBO INOX. 45x45x1,5 A304 2B"
341204515,"TUBO INOX. 45x45x1,5 PULIDO A304"
351105004030,TUBO INOX. 50x40x3 A304 2B
341105012,"TUBO INOX. 50x50x1,2 A304 2B"
341305012,"TUBO INOX. 50x50x1,2 SATIN. CS A304"
341105015,"TUBO INOX. 50x50x1,5 A304 2B"
345105015,"TUBO INOX. 50x50x1,5 A316 2B"
345205015,"TUBO INOX. 50x50x1,5 A316 PULIDO"
341205020,TUBO INOX. 50x50x2 PULIDO A304 CS
341205021,TUBO INOX. 50x50x2 PULIDO A304 CS DETERIORADO
341305020,TUBO INOX. 50x50x2 SATIN. CS A304
341105030,TUBO INOX. 50x50x3 A304 CS
345105030,TUBO INOX. 50x50x3 A316 CS
34T105030,TUBO INOX. 50x50x3 A316 TI
355106002015,"TUBO INOX. 60x20x1,5 A316 2B"
355206002015,"TUBO INOX. 60x20x1,5 A316 PULIDO"
351806002015,"TUBO INOX. 60x20x1,5 GR-200 +PVC A304"
351206002015,"TUBO INOX. 60x20x1,5 PULIDO A304"
351206002016,"TUBO INOX. 60x20x1,5 PULIDO A304 DETERIORADO"
351306002015,"TUBO INOX. 60x20x1,5 SATIN. A304"
355306003030,TUBO INOX. 60x30x3 A316 CS SATINADO
35T106003030,TUBO INOX. 60x30x3 A316Ti
351306003030,TUBO INOX. 60x30x3 SATIN  A304 CS
351106004015,"TUBO INOX. 60x40x1,5 A304 2B"
355106004015,"TUBO INOX. 60x40x1,5 A316 2B"
355206004015,"TUBO INOX. 60x40x1,5 A316 PULIDO"
355306004015,"TUBO INOX. 60x40x1,5 A316 SATIN."
35T106004015,"TUBO INOX. 60x40x1,5 A316Ti"
351206004015,"TUBO INOX. 60x40x1,5 PULIDO A304"
351306004015,"TUBO INOX. 60x40x1,5 SATIN. A304"
351106004020,TUBO INOX. 60x40x2 A304 2B
355106004040,TUBO INOX. 60x40x4 A316
341106015,"TUBO INOX. 60x60x1,5 A304 2B"
345106015,"TUBO INOX. 60x60x1,5 A316 2B"
34T106015,"TUBO INOX. 60x60x1,5 A316TI 2B"
341206015,"TUBO INOX. 60x60x1,5 PULIDO A304 CS"
341306015,"TUBO INOX. 60x60x1,5 SATIN.CS A304"
341106020,TUBO INOX. 60x60x2 A304 2B
345106020,TUBO INOX. 60x60x2 A316 2B
345206020,TUBO INOX. 60x60x2 A316 PULIDO
341306020,TUBO INOX. 60x60x2 SATIN. A304
341106025,"TUBO INOX. 60x60x2,5 A304 CS"
341206025,"TUBO INOX. 60x60x2,5 PULIDO A304 CS"
341106030,TUBO INOX. 60x60x3 A304 CS
345106030,TUBO INOX. 60x60x3 A316 CS
34T106030,TUBO INOX. 60x60x3 A316 TI 2B
351208004016,"TUBO INOX. 80x40x1,5 PULIDO A304 DETERIORADO"
351308004015,"TUBO INOX. 80x40x1,5 SATIN. A304"
351108004020,TUBO INOX. 80x40x2 A304 2B
355108004020,TUBO INOX. 80x40x2 A316 CS 2B
355208004020,TUBO INOX. 80x40x2 A316 PULIDO
355308004020,TUBO INOX. 80x40x2 A316 SATIN.
35T108004020D,TUBO INOX. 80x40x2 A316Ti DETERIORADO
351208004020,TUBO INOX. 80x40x2 PULIDO A304
351308004020,TUBO INOX. 80x40x2 SATIN. A304
351108004030,TUBO INOX. 80x40x3 A304 CS
355108004030,TUBO INOX. 80x40x3 A316
355208004030,TUBO INOX. 80x40x3 A316 PULIDO
341108040,TUBO INOX. 80x80x4 A-304 CS
345108040,TUBO INOX. 80x80x4 A316L CS
341308040,TUBO INOX. 80x80x4 SATIN. A304
341108050,TUBO INOX. 80x80x5 A304 CS
345108050,TUBO INOX. 80x80x5 A316L
341308050,TUBO INOX. 80x80x5 SATIN A304
